Phenotype,Read code,Description,Category
HYPERTENSION,14A2.,H/O: hypertension                                                                                                                                                                                                                                              ,History of hypertension (1)                       
HYPERTENSION,21261,Hypertension resolved                                                                                                                                                                                                                                          ,History of hypertension (1)                       
HYPERTENSION,212K.,Hypertension resolved                                                                                                                                                                                                                                          ,History of hypertension (1)                       
HYPERTENSION,61462,Hypertension induced by oral contraceptive pill                                                                                                                                                                                                                ,Secondary hypertension (4)                        
HYPERTENSION,6624,Borderline hyperten:yearly obs                                                                                                                                                                                                                                 ,Hypertension (3)                                  
HYPERTENSION,6627,Good hypertension control                                                                                                                                                                                                                                      ,Hypertension (3)                                  
HYPERTENSION,6628,Poor hypertension control                                                                                                                                                                                                                                      ,Hypertension (3)                                  
HYPERTENSION,662F.,Hypertension treatm. started                                                                                                                                                                                                                                   ,Hypertension (3)                                  
HYPERTENSION,662G.,Hypertensive treatm.changed                                                                                                                                                                                                                                    ,Hypertension (3)                                  
HYPERTENSION,662O.,On treatment for hypertension                                                                                                                                                                                                                                  ,Hypertension (3)                                  
HYPERTENSION,662b.,Moderate hypertension control                                                                                                                                                                                                                                  ,Hypertension (3)                                  
HYPERTENSION,662c.,Hypertension six month review                                                                                                                                                                                                                                  ,Hypertension (3)                                  
HYPERTENSION,662d.,Hypertension annual review                                                                                                                                                                                                                                     ,Hypertension (3)                                  
HYPERTENSION,662r.,Trial withdrawal of antihypertensive therapy                                                                                                                                                                                                                   ,Hypertension (3)                                  
HYPERTENSION,7Q01.,High cost hypertension drugs                                                                                                                                                                                                                                   ,Hypertension (3)                                  
HYPERTENSION,8B26.,Antihypertensive therapy                                                                                                                                                                                                                                       ,Hypertension (3)                                  
HYPERTENSION,8BL0.,Patient on maximal tolerated antihypertensive therapy                                                                                                                                                                                                          ,Hypertension (3)                                  
HYPERTENSION,8I3N.,Hypertension treatment refused                                                                                                                                                                                                                                 ,Hypertension (3)                                  
HYPERTENSION,9OI9.,Hypertens.monitor deleted                                                                                                                                                                                                                                      ,History of hypertension (1)                       
HYPERTENSION,F4042,Blind hypertensive eye                                                                                                                                                                                                                                         ,Hypertension (3)                                  
HYPERTENSION,F4213,Hypertensive retinopathy                                                                                                                                                                                                                                       ,Hypertension (3)                                  
HYPERTENSION,G2...,Hypertensive disease                                                                                                                                                                                                                                           ,Hypertension (3)                                  
HYPERTENSION,G20..,Essential hypertension                                                                                                                                                                                                                                         ,Hypertension (3)                                  
HYPERTENSION,G200.,Malignant essential hypertension                                                                                                                                                                                                                               ,Hypertension (3)                                  
HYPERTENSION,G201.,Benign essential hypertension                                                                                                                                                                                                                                  ,Hypertension (3)                                  
HYPERTENSION,G202.,Systolic hypertension                                                                                                                                                                                                                                          ,Hypertension (3)                                  
HYPERTENSION,G203.,Diastolic hypertension                                                                                                                                                                                                                                         ,Hypertension (3)                                  
HYPERTENSION,G20z.,Essential hypertension NOS                                                                                                                                                                                                                                     ,Hypertension (3)                                  
