conceptId,term,type
4855003,Diabetic retinopathy,1
8801005,Secondary diabetes mellitus,1
11530004,Brittle diabetes,1
25093002,Diabetic oculopathy,1
25412000,Diabetic retinal microaneurysm,1
26298008,Diabetic coma with ketoacidosis,1
39058009,Diabetic amyotrophy,1
43959009,Diabetic cataract,1
44054006,Diabetes mellitus type II,1
46635009,Insulin dependent diabetes mellitus,1
48951005,Bullosis diabeticorum,1
49455004,Diabetic polyneuropathy,1
50620007,Diabetic autonomic neuropathy,1
51002006,Diabetes mellitus associated with pancreatic disease,1
59276001,Proliferative diabetic retinopathy,1
62260007,Pretibial pigmental patches in diabetes,1
73211009,Diabetes mellitus,1
74627003,Diabetic complication,1
75524006,Malnutrition related diabetes mellitus,1
111552007,Diabetes mellitus without complication,1
111556005,Diabetic ketoacidosis without coma,1
126534007,Diabetic mixed sensory-motor polyneuropathy,1
127011001,Diabetic sensory polyneuropathy,1
127012008,Lipoatrophic diabetes,1
127013003,Diabetic renal disease,1
127014009,Diabetic peripheral angiopathy,1
134395001,Diabetic retinopathy screening,1
170745003,Diabetic on diet only,1
170747006,Diabetic on insulin,1
170763003,Diabetic - good control,1
170766006,Loss of hypoglycemic warning,1
190330002,"Diabetes mellitus, juvenile type, with hyperosmolar coma",1
190331003,"Diabetes mellitus, adult onset, with hyperosmolar coma",1
190368000,Type I diabetes mellitus with ulcer,1
190369008,Type 1 diabetes mellitus with gangrene,1
190372001,Type I diabetes mellitus maturity onset,1
190388001,Type II diabetes mellitus with multiple complications,1
190389009,Type 2 diabetes mellitus with ulcer,1
190406000,Malnutrition-related diabetes mellitus with ketoacidosis,1
190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications,1
190411003,Malnutrition-related diabetes mellitus with multiple complications,1
193141005,Diabetic mononeuritis multiplex,1
193183000,Acute painful diabetic neuropathy,1
193184006,Chronic painful diabetic neuropathy,1
193185007,Asymptomatic diabetic neuropathy,1
193349004,Preproliferative diabetic retinopathy,1
193350004,Advanced diabetic maculopathy,1
193489006,Diabetic iritis,1
197605007,Nephrotic syndrome in diabetes mellitus,1
199230006,"Pre-existing diabetes mellitus, non-insulin-dependent",1
199231005,Pre-existing malnutrition-related diabetes mellitus,1
200687002,Cellulitis in diabetic foot,1
201250006,Ischaemic ulcer diabetic foot,1
201251005,Neuropathic diabetic ulcer - foot,1
201723002,Diabetic hand syndrome,1
201724008,Diabetic Charcot's arthropathy,1
230572002,Diabetic neuropathy,1
230574001,Diabetic acute painful polyneuropathy,1
230575000,Diabetic chronic painful polyneuropathy,1
230576004,Diabetic asymmetric polyneuropathy,1
230577008,Diabetic mononeuropathy,1
230579006,Diabetic thoracic radiculopathy,1
232020009,Diabetic maculopathy,1
232021008,Proliferative diabetic retinopathy new vessels on disc,1
232022001,Proliferative diabetic retinopathy with new vessels elsewhere than on disc,1
232023006,Diabetic traction retinal detachment,1
236499007,Microalbuminuric diabetic nephropathy,1
236500003,Clinical diabetic nephropathy,1
237599002,Insulin-treated non-insulin-dependent diabetes mellitus,1
237604008,Diabetes mellitus autosomal dominant type II,1
237620003,Abnormal metabolic state in diabetes mellitus,1
237621004,Diabetic severe hyperglycemia,1
237633009,Hypoglycemic state in diabetes,1
238981002,Soft tissue complication of diabetes mellitus,1
238982009,Diabetic dermopathy,1
238983004,Diabetic thick skin syndrome,1
238984005,Diabetic rubeosis,1
267604001,Myasthenic syndrome due to diabetic amyotrophy,1
268519009,Diabetic - poor control,1
280137006,Diabetic foot,1
290002008,Unstable type I diabetes mellitus,1
308105005,O/E - Right diabetic foot at risk,1
308106006,O/E - Left diabetic foot at risk,1
309426007,Diabetic glomerulopathy,1
310505005,Diabetic hyperosmolar non-ketotic state,1
311782002,Advanced diabetic retinal disease,1
312903003,Mild non proliferative diabetic retinopathy,1
312904009,Moderate non proliferative diabetic retinopathy,1
312905005,Severe non proliferative diabetic retinopathy,1
312906006,Proliferative diabetic retinopathy - non high risk,1
312907002,Proliferative diabetic retinopathy - high risk,1
312908007,Proliferative diabetic retinopathy - quiescent,1
312909004,Proliferative diabetic retinopathy - iris neovascularisation,1
312910009,Diabetic vitreous hemorrhage,1
312912001,Diabetic macular edema,1
313435000,Type I diabetes mellitus without complication,1
313436004,Non-insulin-dependent diabetes mellitus without complication,1
314010006,Diffuse diabetic maculopathy,1
314011005,Focal diabetic maculopathy,1
314014002,Ischaemic diabetic maculopathy,1
314015001,Mixed diabetic maculopathy,1
314537004,Diabetic optic papillopathy,1
314771006,Type 1 diabetes mellitus with hypoglycaemic coma,1
314893005,Type 1 diabetes mellitus with arthropathy,1
314902007,Type II diabetes mellitus with peripheral angiopathy,1
314903002,Non-insulin dependent diabetes mellitus with arthropathy,1
314904008,Type II diabetes mellitus with neuropathic arthropathy,1
361216007,Diabetic femoral mononeuropathy,1
371087003,Diabetic foot ulcer (disorder),1
390834004,Non proliferative diabetic retinopathy (disorder),1
390850007,O/E - no right diabetic retinopathy (context-dependent category),1
390853009,O/E - no left diabetic retinopathy (context-dependent category),1
390854003,O/E - diabetic maculopathy present both eyes (context-dependent category),1
390855002,O/E - diabetic maculopathy absent both eyes (context-dependent category),1
395204000,Hyperosmolar non-ketotic state in type 2 diabetes mellitus (disorder),1
398140007,Somogyi phenomenon (disorder),1
399864000,Diabetic macular edema not clinically significant (disorder),1
399865004,Very severe proliferative diabetic retinopathy (disorder),1
399866003,Diabetic retinal venous beading (disorder),1
399870006,Non-high-risk proliferative diabetic retinopathy with no macular edema (disorder),1
399871005,Visually threatening diabetic retinopathy (disorder),1
401110002,Type 1 diabetes mellitus with persistent microalbuminuria (disorder),1
401191002,Diabetic foot examination (regime/therapy),1
408397002,Diabetic foot examination not indicated (context-dependent category),1
408409007,O/E - right eye background diabetic retinopathy (context-dependent category),1
