Phenotype,Read code,Description,Category
CARDIOMYOPATHY,C3733,Familial cardiac amyloid                                                                                                                                                                                                                                       ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,C373G,Senile cardiac amyloidosis                                                                                                                                                                                                                                     ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,F391B,Cardiomyopathy in Duchenne muscular dystrophy                                                                                                                                                                                                                  ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G343.,Ischaemic cardiomyopathy                                                                                                                                                                                                                                       ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G55..,Cardiomyopathy                                                                                                                                                                                                                                                 ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G550.,Endomyocardial fibrosis                                                                                                                                                                                                                                        ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G552.,Obscure African cardiomyopathy                                                                                                                                                                                                                                 ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G554.,Other primary cardiomyopathies                                                                                                                                                                                                                                 ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5541,Constrictive cardiomyopathy                                                                                                                                                                                                                                    ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5542,Familial cardiomyopathy                                                                                                                                                                                                                                        ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5545,Takotsubo cardiomyopathy                                                                                                                                                                                                                                       ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G554z,Other primary cardiomyopathy NOS                                                                                                                                                                                                                               ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G557.,Nutritional and metabolic cardiomyopathies                                                                                                                                                                                                                     ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5570,Amyloid heart disease                                                                                                                                                                                                                                          ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5571,Beriberi heart disease                                                                                                                                                                                                                                         ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5575,Thyrotoxic heart disease                                                                                                                                                                                                                                       ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G557z,Nutritional and metabolic cardiomyopathy NOS                                                                                                                                                                                                                   ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G558.,Cardiomyopathy in disease EC                                                                                                                                                                                                                                   ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5580,Cardiomyopathy in Friedreich's ataxia                                                                                                                                                                                                                          ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5581,Cardiomyopathy in myotonic dystrophy                                                                                                                                                                                                                           ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5582,Dystrophic cardiomyopathy                                                                                                                                                                                                                                      ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G5584,Amyloid cardiomyopathy                                                                                                                                                                                                                                         ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G558z,"Cardiomyopathy in diseases EC, NOS                                                                                                                                                                                                                             ",Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G559.,Arrhythmogenic right ventricular cardiomyopathy                                                                                                                                                                                                                ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G55A.,Tachycardiomyopathy                                                                                                                                                                                                                                            ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G55y.,Secondary cardiomyopathy NOS                                                                                                                                                                                                                                   ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G55y0,Cardiomyopathy due to drugs and other external agents                                                                                                                                                                                                          ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,G55z.,Cardiomyopathy NOS                                                                                                                                                                                                                                             ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,Gyu5N,[X]Other restrictive cardiomyopathy                                                                                                                                                                                                                            ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,Gyu5P,[X]Other cardiomyopathies                                                                                                                                                                                                                                      ,Diagnosis of Other Cardiomyopathy                 
CARDIOMYOPATHY,Gyu5R,[X]Cardiomyopathy in metabolic diseases CE                                                                                                                                                                                                                     ,Diagnosis of Other Cardiomyopathy                 
