Phenotype,Read code,Description,Category
OBESITY,222A.,O/E - obese                                                                                                                                                                                                                                                    ,Diagnosis of Obesity                              
OBESITY,22A5.,O/E - obese                                                                                                                                                                                                                                                    ,Diagnosis of Obesity                              
OBESITY,22K5.,Body mass index 30+ - obesity                                                                                                                                                                                                                                  ,Diagnosis of Obesity                              
OBESITY,22K7.,Body mass index 40+ - severely obese                                                                                                                                                                                                                           ,Diagnosis of Obesity                              
OBESITY,66C1.,Initial obesity assessment                                                                                                                                                                                                                                     ,Diagnosis of Obesity                              
OBESITY,66C4.,Has seen dietician - obesity                                                                                                                                                                                                                                   ,Diagnosis of Obesity                              
OBESITY,66C5.,Treatment of obesity changed                                                                                                                                                                                                                                   ,Diagnosis of Obesity                              
OBESITY,66C6.,Treatment of obesity started                                                                                                                                                                                                                                   ,Diagnosis of Obesity                              
OBESITY,66CE.,Reason for obesity therapy - occupational                                                                                                                                                                                                                      ,Diagnosis of Obesity                              
OBESITY,C38..,Obesity and other hyperalimentation                                                                                                                                                                                                                            ,Diagnosis of Obesity                              
OBESITY,C380.,Obesity                                                                                                                                                                                                                                                        ,Diagnosis of Obesity                              
OBESITY,C3800,Obesity due to excess calories                                                                                                                                                                                                                                 ,Diagnosis of Obesity                              
OBESITY,C3801,Drug-induced obesity                                                                                                                                                                                                                                           ,Diagnosis of Obesity                              
OBESITY,C3802,Extreme obesity with alveolar hypoventilation                                                                                                                                                                                                                  ,Diagnosis of Obesity                              
OBESITY,C3803,Morbid obesity                                                                                                                                                                                                                                                 ,Diagnosis of Obesity                              
OBESITY,C3804,Central obesity                                                                                                                                                                                                                                                ,Diagnosis of Obesity                              
OBESITY,C3805,Generalised obesity                                                                                                                                                                                                                                            ,Diagnosis of Obesity                              
OBESITY,C3806,Adult-onset obesity                                                                                                                                                                                                                                            ,Diagnosis of Obesity                              
OBESITY,C3807,Lifelong obesity                                                                                                                                                                                                                                               ,Diagnosis of Obesity                              
OBESITY,C38y.,Pickwickian syndrome                                                                                                                                                                                                                                           ,Diagnosis of Obesity                              
OBESITY,C38y0,Pickwickian syndrome                                                                                                                                                                                                                                           ,Diagnosis of Obesity                              
OBESITY,C38z.,Obesity and other hyperalimentation NOS                                                                                                                                                                                                                        ,Diagnosis of Obesity                              
OBESITY,C38z0,Simple obesity NOS                                                                                                                                                                                                                                             ,Diagnosis of Obesity                              
OBESITY,Cyu7.,[X]Obesity and other hyperalimentation                                                                                                                                                                                                                         ,Diagnosis of Obesity                              
OBESITY,Cyu70,[X]Other obesity                                                                                                                                                                                                                                               ,Diagnosis of Obesity                              
OBESITY,ZC2CM,Dietary advice for obesity                                                                                                                                                                                                                                     ,Diagnosis of Obesity                              
OBESITY,ZV653,[V]Dietary counselling in obesity                                                                                                                                                                                                                              ,Diagnosis of Obesity                              
