Phenotype,Terminology,Code,Description,Filter,Lookback
uhc_respiratory_conditions,ICD-10,E84,Cystic fibrosis,Include,
uhc_respiratory_conditions,ICD-10,J380,Paralysis of vocal cords and larynx,Include,
uhc_respiratory_conditions,ICD-10,J386,Stenosis of larynx,Include,
uhc_respiratory_conditions,ICD-10,J41,Simple and mucopurulent chronic bronchitis,Include,
uhc_respiratory_conditions,ICD-10,J42,,Include,
uhc_respiratory_conditions,ICD-10,J43,Emphysema,Include,
uhc_respiratory_conditions,ICD-10,J44,Other chronic obstructive pulmonary disease,Include,
uhc_respiratory_conditions,ICD-10,J45,Asthma,Include,
uhc_respiratory_conditions,ICD-10,J46,,Include,
uhc_respiratory_conditions,ICD-10,J47,,Include,
uhc_respiratory_conditions,ICD-10,J82,,Include,
uhc_respiratory_conditions,ICD-10,J84,Other interstitial pulmonary diseases,Include,
uhc_respiratory_conditions,ICD-10,J99,Respiratory disorders in diseases classified elsewhere,Include,
uhc_respiratory_conditions,ICD-10,Q30,Congenital malformations of nose,Include,
uhc_respiratory_conditions,ICD-10,Q31,Congenital malformations of larynx,Include,
uhc_respiratory_conditions,ICD-10,Q32,Congenital malformations of trachea and bronchus,Include,
uhc_respiratory_conditions,ICD-10,Q33,Congenital malformations of lung,Include,
uhc_respiratory_conditions,ICD-10,Q34,Other congenital malformations of respiratory system,Include,
