Coding System (Multilex),Codes,Description,Entity type,Category
Multilex,69798020,Epilim Intravenous 400mg powder and solvent for solution for injection vials (Sanofi),res38: Lithium and other mood stabilisers,drug
Multilex,59758020,Carbamazepine 100mg tablets,res38: Lithium and other mood stabilisers,drug
Multilex,55618020,Sodium valproate 500mg Gastro-resistant tablet (C P Pharmaceuticals Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,72801020,Carbamazepine 200mg chewable tablets sugar free,res38: Lithium and other mood stabilisers,drug
Multilex,69212020,Sodium valproate 200mg/5ml oral solution,res38: Lithium and other mood stabilisers,drug
Multilex,71034020,Lamotrigine 25mg tablets (A A H Pharmaceuticals Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,70810020,Lamotrigine 100mg tablets (Actavis UK Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,57489020,Valproic acid 250mg gastro-resistant tablets,res38: Lithium and other mood stabilisers,drug
Multilex,57187020,Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,99733020,Tegretol Prolonged Release 400mg tablets (Novartis Pharmaceuticals UK Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,57138020,Lithium citrate 1.018g/5ml oral solution,res38: Lithium and other mood stabilisers,drug
Multilex,56315020,Sodium valproate 200mg gastro-resistant tablets (Generics (UK) Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,56314020,Sodium valproate 100mg tablets (Generics (UK) Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,99731020,Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,99349020,Lamotrigine 50mg Suppository,res38: Lithium and other mood stabilisers,drug
Multilex,98807020,Sodium valproate 50mg modified-release granules sachets sugar free,res38: Lithium and other mood stabilisers,drug
Multilex,57186020,Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,98809020,Sodium valproate 100mg modified-release granules sachets sugar free,res38: Lithium and other mood stabilisers,drug
Multilex,98813020,Sodium valproate 750mg modified-release granules sachets sugar free,res38: Lithium and other mood stabilisers,drug
Multilex,98811020,Sodium valproate 250mg modified-release granules sachets sugar free,res38: Lithium and other mood stabilisers,drug
Multilex,70804020,Lamotrigine 25mg tablets (Actavis UK Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,39821020,Lamotrigine 25mg tablets (Accord Healthcare Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,74923020,Epilim Chrono 200 tablets (Sanofi),res38: Lithium and other mood stabilisers,drug
Multilex,74924020,Epilim Chrono 300 tablets (Sanofi),res38: Lithium and other mood stabilisers,drug
Multilex,71050020,Lamotrigine 25mg dispersible tablets sugar free (A A H Pharmaceuticals Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,57490020,Valproic acid 500mg gastro-resistant tablets,res38: Lithium and other mood stabilisers,drug
Multilex,69797020,Epilim 200mg/5ml liquid (Sanofi),res38: Lithium and other mood stabilisers,drug
Multilex,56309020,Sodium valproate 200mg/5ml Oral solution (IVAX Pharmaceuticals UK Ltd),res38: Lithium and other mood stabilisers,drug
Multilex,69793020,Epilim 100mg crushable tablets (Sanofi),res38: Lithium and other mood stabilisers,drug
