Coding System (ICD-10 ICD-9),Codes,Description,Entity type,Category
ICD-10,J15.4,Pneumonia due to other streptococci,res42: respiratory tract infection,diagnostic
ICD-10,J17.0,Pneumonia in bacterial diseases classified elsewhere,res42: respiratory tract infection,diagnostic
ICD-10,J15.3,"Pneumonia due to streptococcus, group B",res42: respiratory tract infection,diagnostic
ICD-10,A15.3,"Tuberculosis of lung, confirmed by unspecified means",res42: respiratory tract infection,diagnostic
ICD-10,A15.2,"Tuberculosis of lung, confirmed histologically",res42: respiratory tract infection,diagnostic
ICD-10,A15.1,"Tuberculosis of lung, confirmed by culture only",res42: respiratory tract infection,diagnostic
ICD-10,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",res42: respiratory tract infection,diagnostic
ICD-10,J20.8,Acute bronchitis due to other specified organisms,res42: respiratory tract infection,diagnostic
ICD-10,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",res42: respiratory tract infection,diagnostic
ICD-10,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",res42: respiratory tract infection,diagnostic
ICD-10,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",res42: respiratory tract infection,diagnostic
ICD-10,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",res42: respiratory tract infection,diagnostic
ICD-10,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",res42: respiratory tract infection,diagnostic
ICD-10,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",res42: respiratory tract infection,diagnostic
ICD-10,A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",res42: respiratory tract infection,diagnostic
ICD-10,J12.1,Respiratory syncytial virus pneumonia,res42: respiratory tract infection,diagnostic
ICD-10,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",res42: respiratory tract infection,diagnostic
ICD-10,J12,"Viral pneumonia, not elsewhere classified",res42: respiratory tract infection,diagnostic
ICD-10,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confir",res42: respiratory tract infection,diagnostic
ICD-10,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",res42: respiratory tract infection,diagnostic
ICD-10,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",res42: respiratory tract infection,diagnostic
ICD-10,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",res42: respiratory tract infection,diagnostic
ICD-10,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",res42: respiratory tract infection,diagnostic
ICD-10,A48.1,Legionnaires disease,res42: respiratory tract infection,diagnostic
ICD-10,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological con",res42: respiratory tract infection,diagnostic
ICD-10,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,res42: respiratory tract infection,diagnostic
ICD-10,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmatio",res42: respiratory tract infection,diagnostic
ICD-10,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",res42: respiratory tract infection,diagnostic
ICD-10,J12.3,Human metapneumovirus pneumonia,res42: respiratory tract infection,diagnostic
ICD-10,J12.2,Parainfluenza virus pneumonia,res42: respiratory tract infection,diagnostic
ICD-10,J15.2,Pneumonia due to staphylococcus,res42: respiratory tract infection,diagnostic
ICD-10,J12.9,"Viral pneumonia, unspecified",res42: respiratory tract infection,diagnostic
ICD-10,J12.8,Other viral pneumonia,res42: respiratory tract infection,diagnostic
ICD-10,J15.0,Pneumonia due to Klebsiella pneumoniae,res42: respiratory tract infection,diagnostic
ICD-10,J15.1,Pneumonia due to Pseudomonas,res42: respiratory tract infection,diagnostic
ICD-10,J15,"Bacterial pneumonia, not elsewhere classified",res42: respiratory tract infection,diagnostic
ICD-10,J14,Pneumonia due to Haemophilus influenzae,res42: respiratory tract infection,diagnostic
ICD-10,J13,Pneumonia due to Streptococcus pneumoniae,res42: respiratory tract infection,diagnostic
ICD-10,J17,Pneumonia in diseases classified elsewhere,res42: respiratory tract infection,diagnostic
ICD-10,J16.8,Pneumonia due to other specified infectious organisms,res42: respiratory tract infection,diagnostic
ICD-10,J16.0,Chlamydial pneumonia,res42: respiratory tract infection,diagnostic
ICD-10,J16,"Pneumonia due to other infectious organisms, not elsewhere classified",res42: respiratory tract infection,diagnostic
ICD-10,J15.9,"Bacterial pneumonia, unspecified",res42: respiratory tract infection,diagnostic
ICD-10,J15.8,Other bacterial pneumonia,res42: respiratory tract infection,diagnostic
ICD-10,J15.7,Pneumonia due to Mycoplasma pneumoniae,res42: respiratory tract infection,diagnostic
