code,coding_system,description,entity,list_name,upload_date
1B1V.00,Read,C/O - panic attack,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
225J.00,Read,O/E - panic attack,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
8CAZ000,Read,Patient given advice about management of anxiety,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
8G52.00,Read,Antiphobic therapy,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
8G94.00,Read,Anxiety management training,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
8HHp.00,Read,Referral for guided self-help for anxiety,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
8IH5300,Read,Referral for guided self-help for anxiety declined,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E200100,Read,Panic disorder,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E200111,Read,Panic attack,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E200200,Read,Generalised anxiety disorder,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E200300,Read,Anxiety with depression,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E200400,Read,Chronic anxiety,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E200500,Read,Recurrent anxiety,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202.00,Read,Phobic disorders,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202000,Read,Phobia unspecified,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202100,Read,Agoraphobia with panic attacks,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202.11,Read,Social phobic disorders,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202.12,Read,Phobic anxiety,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202199,Read,Agoraphobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202200,Read,Agoraphobia without mention of panic attacks,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202299,Read,Agoraphobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202300,Read,Social phobia; fear of eating in public,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202400,Read,Social phobia; fear of public speaking,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202500,Read,Social phobia; fear of public washing,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202600,Read,Acrophobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202800,Read,Claustrophobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202.99,Read,Phobic state,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202z00,Read,Phobic disorder NOS,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202z98,Read,Needle phobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E202z99,Read,Other phobias,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E203.00,Read,Obsessive-compulsive disorders,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E203000,Read,Compulsive neurosis,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E203100,Read,Obsessional neurosis,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E203.11,Read,Anancastic neurosis,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E203z00,Read,Obsessive-compulsive disorder NOS,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E20z.00,Read,Neurotic disorder NOS,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E28z.12,Read,Flying phobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
E29y199,Read,Chron post-traum stress dis,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu05400,Read,[X]Organic anxiety disorder,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu34114,Read,[X]Persistant anxiety depression,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu40.00,Read,[X]Phobic anxiety disorders,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu40000,Read,[X]Agoraphobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu40011,Read,[X]Agoraphobia without history of panic disorder,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu40012,Read,[X]Panic disorder with agoraphobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu40100,Read,[X]Social phobias,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu40111,Read,[X]Anthropophobia,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu40112,Read,[X]Social neurosis,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
Eu40200,Read,[X]Specific (isolated) phobias,diagnostic,836 - res173: Anxiety (Read codes),2020-10-14
