Phenotype,Read code,Description,Category
CANCER,142..,H/O: malignant neoplasm (*)                                                                                                                                                                                                                                    ,History of cancer (1)                             
CANCER,1421,H/O: * gastrointestinal tract                                                                                                                                                                                                                                  ,History of cancer (1)                             
CANCER,1422,H/O: * bronchus                                                                                                                                                                                                                                                ,History of cancer (1)                             
CANCER,1423,H/O: * trachea/lung                                                                                                                                                                                                                                            ,History of cancer (1)                             
CANCER,1424,H/O: * breast                                                                                                                                                                                                                                                  ,History of cancer (1)                             
CANCER,1425,H/O: * skin                                                                                                                                                                                                                                                    ,History of cancer (1)                             
CANCER,14250,H/O Malignant melanoma                                                                                                                                                                                                                                         ,History of cancer (1)                             
CANCER,1426,H/O: * female genital tract                                                                                                                                                                                                                                    ,History of cancer (1)                             
CANCER,1427,H/O: * male genital tract                                                                                                                                                                                                                                      ,History of cancer (1)                             
CANCER,1428,H/O: * urinary system                                                                                                                                                                                                                                          ,History of cancer (1)                             
CANCER,1429,H/O: * leukaemia                                                                                                                                                                                                                                               ,History of cancer (1)                             
CANCER,142A.,H/O: * other lymph/haematopoi.                                                                                                                                                                                                                                 ,History of cancer (1)                             
CANCER,142B.,"H/O: * ears, nose, throat                                                                                                                                                                                                                                      ",History of cancer (1)                             
CANCER,142Z.,H/O: * NOS                                                                                                                                                                                                                                                     ,History of cancer (1)                             
CANCER,1D18.,Pain from metastases                                                                                                                                                                                                                                           ,Metastases (6)                                    
CANCER,1J0..,Suspected malignancy                                                                                                                                                                                                                                           ,Possible cancer (2)                               
CANCER,1J00.,Suspected lung cancer                                                                                                                                                                                                                                          ,Possible cancer (2)                               
CANCER,1J01.,Suspected sarcoma                                                                                                                                                                                                                                              ,Possible cancer (2)                               
CANCER,1J02.,Suspected leukaemia                                                                                                                                                                                                                                            ,Possible cancer (2)                               
CANCER,1J03.,Suspected brain tumour                                                                                                                                                                                                                                         ,Possible cancer (2)                               
CANCER,1J04.,Suspected lymphoma                                                                                                                                                                                                                                             ,Possible cancer (2)                               
CANCER,1J06.,Suspected cervical cancer                                                                                                                                                                                                                                      ,Possible cancer (2)                               
CANCER,1J07.,Suspected endometrial cancer                                                                                                                                                                                                                                   ,Possible cancer (2)                               
CANCER,1J08.,Suspected prostate cancer                                                                                                                                                                                                                                      ,Possible cancer (2)                               
CANCER,1J09.,Suspected bladder cancer                                                                                                                                                                                                                                       ,Possible cancer (2)                               
CANCER,1J0A.,Suspected kidney cancer                                                                                                                                                                                                                                        ,Possible cancer (2)                               
CANCER,1J0B.,Suspected urothelial cancer                                                                                                                                                                                                                                    ,Possible cancer (2)                               
CANCER,1J0C.,Suspected testicular cancer                                                                                                                                                                                                                                    ,Possible cancer (2)                               
CANCER,1J0D.,Suspected upper gastrointestinal cancer                                                                                                                                                                                                                        ,Possible cancer (2)                               
CANCER,1J0E.,Suspected lower gastrointestinal cancer                                                                                                                                                                                                                        ,Possible cancer (2)                               
CANCER,1J0F.,Suspected haematological malignancy                                                                                                                                                                                                                            ,Possible cancer (2)                               
CANCER,1J0G.,Suspected skin cancer                                                                                                                                                                                                                                          ,Possible cancer (2)                               
CANCER,1J0H.,Suspected head and neck cancer                                                                                                                                                                                                                                 ,Possible cancer (2)                               
CANCER,1J0I.,Suspected breast cancer                                                                                                                                                                                                                                        ,Possible cancer (2)                               
CANCER,1J0J.,Suspected gynaecological cancer                                                                                                                                                                                                                                ,Possible cancer (2)                               
CANCER,1J0K.,Suspected pancreatic cancer                                                                                                                                                                                                                                    ,Possible cancer (2)                               
CANCER,1O0..,Cancer confirmed                                                                                                                                                                                                                                               ,Solid tumour (3)                                  
CANCER,4M00.,Gleason prostate grade 2-4 (low)                                                                                                                                                                                                                               ,Solid tumour (3)                                  
CANCER,4M01.,Gleason prostate grade 5-7 (medium)                                                                                                                                                                                                                            ,Solid tumour (3)                                  
CANCER,4M02.,Gleason prostate grade 8-10 (high)                                                                                                                                                                                                                             ,Solid tumour (3)                                  
CANCER,4M20.,Lymphoma stage I                                                                                                                                                                                                                                               ,Lymphoma (5)                                      
CANCER,4M21.,Lymphoma stage II                                                                                                                                                                                                                                              ,Lymphoma (5)                                      
CANCER,4M22.,Lymphoma stage III                                                                                                                                                                                                                                             ,Lymphoma (5)                                      
CANCER,4M23.,Lymphoma stage IV                                                                                                                                                                                                                                              ,Lymphoma (5)                                      
CANCER,4M72.,Clark melanoma level 3                                                                                                                                                                                                                                         ,Solid tumour (3)                                  
CANCER,5136,X-ray metastasis control                                                                                                                                                                                                                                       ,Metastases (6)                                    
CANCER,7G03J,Excision of melanoma                                                                                                                                                                                                                                           ,Solid tumour (3)                                  
CANCER,7G03K,Excision malignant skin tumour                                                                                                                                                                                                                                 ,Solid tumour (3)                                  
CANCER,7G05D,Excision biopsy of basal cell carcinoma                                                                                                                                                                                                                        ,Non-melanoma skin cancer (8)                      
