Coding System (Multilex),Codes,Description,Entity type,Category
Multilex,48522020,Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48518020,Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,03701020,Clomipramine 50mg capsules (Kent Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48517020,Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,03674020,Amitriptyline 10mg tablets (Accord Healthcare Ltd),res41: Tricyclic ADDs,drug
Multilex,00505021,Amitriptyline 10mg/5ml oral suspension,res41: Tricyclic ADDs,drug
Multilex,00503021,Amitriptyline 10mg/5ml oral solution,res41: Tricyclic ADDs,drug
Multilex,48486020,Amitriptyline 50mg tablets (Wockhardt UK Ltd),res41: Tricyclic ADDs,drug
Multilex,03784020,Trimipramine 10mg tablets (Phoenix Healthcare Distribution Ltd),res41: Tricyclic ADDs,drug
Multilex,48516020,Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,03717020,Prothiaden 25mg capsules (Stephar (U.K.) Ltd),res41: Tricyclic ADDs,drug
Multilex,48485020,Amitriptyline 25mg tablets (Wockhardt UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48432020,Bolvidon 30mg Tablet (Organon Laboratories Ltd),res41: Tricyclic ADDs,drug
Multilex,19451020,Clomipramine 50mg/5ml oral solution,res41: Tricyclic ADDs,drug
Multilex,48431020,Bolvidon 20mg Tablet (Organon Laboratories Ltd),res41: Tricyclic ADDs,drug
Multilex,19725020,Dosulepin 25mg/5ml oral solution,res41: Tricyclic ADDs,drug
Multilex,48430020,Bolvidon 10mg Tablet (Organon Laboratories Ltd),res41: Tricyclic ADDs,drug
Multilex,48484020,Amitriptyline 10mg tablets (Wockhardt UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48479020,Amitriptyline 10mg tablets (Teva UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48481020,Amitriptyline 50mg tablets (Teva UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48480020,Amitriptyline 25mg tablets (Teva UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48492020,Amitriptyline 25mg Tablet (Berk Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48498020,Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48491020,Amitriptyline 50mg Tablet (Berk Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48490020,Amitriptyline 10mg Tablet (Berk Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48513020,Amitriptyline 25mg Tablet (Crosspharma Ltd),res41: Tricyclic ADDs,drug
Multilex,48497020,Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48496020,Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48507020,Amitriptyline 10mg tablets (Actavis UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48502020,Amitriptyline 25mg Tablet (Celltech Pharma Europe Ltd),res41: Tricyclic ADDs,drug
Multilex,48509020,Amitriptyline 50mg tablets (Actavis UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48508020,Amitriptyline 25mg tablets (Actavis UK Ltd),res41: Tricyclic ADDs,drug
Multilex,55369020,Imipramine 25mg tablets (Teva UK Ltd),res41: Tricyclic ADDs,drug
Multilex,50103020,Mianserin 20mg Tablet (Berk Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,60464020,Dosulepin 25mg capsules (Generics (UK) Ltd),res41: Tricyclic ADDs,drug
Multilex,49846020,Imipramine 25mg tablets (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48533020,Amitriptyline 10mg Tablet (Sussex Pharmaceutical Ltd),res41: Tricyclic ADDs,drug
Multilex,48528020,Amitriptyline 25mg Tablet (Regent Laboratories Ltd),res41: Tricyclic ADDs,drug
Multilex,48523020,Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd),res41: Tricyclic ADDs,drug
Multilex,48524020,Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd),res41: Tricyclic ADDs,drug
Multilex,49845020,Imipramine 10mg tablets (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,49589020,Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,48534020,Amitriptyline 25mg Tablet (Sussex Pharmaceutical Ltd),res41: Tricyclic ADDs,drug
Multilex,49588020,Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,49842020,Imipramine 25mg tablets (Actavis UK Ltd),res41: Tricyclic ADDs,drug
Multilex,49838020,Imipramine 25mg Tablet (C P Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,49841020,Imipramine 10mg tablets (Actavis UK Ltd),res41: Tricyclic ADDs,drug
Multilex,56942020,Dosulepin 25mg capsules (Actavis UK Ltd),res41: Tricyclic ADDs,drug
Multilex,56698020,Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,54109020,Molipaxin 100mg capsules (Zentiva),res41: Tricyclic ADDs,drug
Multilex,50946020,Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,50198020,Limbitrol 5 Capsule (Roche Products Ltd),res41: Tricyclic ADDs,drug
Multilex,50776020,Norval 30mg Tablet (Bencard),res41: Tricyclic ADDs,drug
Multilex,50774020,Norval 10mg Tablet (Bencard),res41: Tricyclic ADDs,drug
Multilex,50775020,Norval 20mg Tablet (Bencard),res41: Tricyclic ADDs,drug
Multilex,54108020,Molipaxin 50mg capsules (Zentiva),res41: Tricyclic ADDs,drug
Multilex,52046020,Triptafen tablets (AMCo),res41: Tricyclic ADDs,drug
Multilex,50947020,Clomipramine 25mg capsules (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,50948020,Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,53818020,Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd),res41: Tricyclic ADDs,drug
Multilex,52047020,Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,53817020,Dosulepin 75mg tablets (IVAX Pharmaceuticals UK Ltd),res41: Tricyclic ADDs,drug
Multilex,55364020,Domical 50mg Tablet (Berk Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,55363020,Domical 25mg Tablet (Berk Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,54669020,Clomipramine 10mg capsules (Teva UK Ltd),res41: Tricyclic ADDs,drug
Multilex,54110020,Molipaxin 150mg tablets (Zentiva),res41: Tricyclic ADDs,drug
Multilex,54655020,Limbitrol 10 Capsule (Roche Products Ltd),res41: Tricyclic ADDs,drug
Multilex,54620020,Dosulepin 75mg tablets (Teva UK Ltd),res41: Tricyclic ADDs,drug
Multilex,54621020,Dosulepin 25mg capsules (Teva UK Ltd),res41: Tricyclic ADDs,drug
Multilex,55362020,Domical 10mg Tablet (Berk Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,54728020,Dosulepin 25mg/5ml mixture,res41: Tricyclic ADDs,drug
Multilex,54670020,Clomipramine 25mg capsules (Teva UK Ltd),res41: Tricyclic ADDs,drug
Multilex,54727020,Dosulepin 75mg/5ml oral solution sugar free,res41: Tricyclic ADDs,drug
Multilex,55356020,Allegron 25mg tablets (King Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
Multilex,54779020,Molipaxin 50mg/5ml oral liquid (Sanofi),res41: Tricyclic ADDs,drug
Multilex,55355020,Allegron 10mg tablets (King Pharmaceuticals Ltd),res41: Tricyclic ADDs,drug
