Phenotype,Read code,Description,Category
COPD,14B3.,History of chronic obstructive pulmonary disease                                                                                                                                                                                                               ,History of COPD                                   
COPD,H3...,Chronic obstructive pulmonary disease                                                                                                                                                                                                                          ,Diagnosis of COPD                                 
COPD,H31..,Chronic bronchitis                                                                                                                                                                                                                                             ,Diagnosis of COPD                                 
COPD,H310.,Simple chronic bronchitis                                                                                                                                                                                                                                      ,Diagnosis of COPD                                 
COPD,H3100,Chronic catarrhal bronchitis                                                                                                                                                                                                                                   ,Diagnosis of COPD                                 
COPD,H310z,Simple chronic bronchitis NOS                                                                                                                                                                                                                                  ,Diagnosis of COPD                                 
COPD,H311.,Mucopurulent chronic bronchitis                                                                                                                                                                                                                                ,Diagnosis of COPD                                 
COPD,H3110,Purulent chronic bronchitis                                                                                                                                                                                                                                    ,Diagnosis of COPD                                 
COPD,H3111,Fetid chronic bronchitis                                                                                                                                                                                                                                       ,Diagnosis of COPD                                 
COPD,H311z,Mucopurulent chronic bronchitis NOS                                                                                                                                                                                                                            ,Diagnosis of COPD                                 
COPD,H312.,Obstructive chronic bronchitis                                                                                                                                                                                                                                 ,Diagnosis of COPD                                 
COPD,H3120,Chronic asthmatic bronchitis                                                                                                                                                                                                                                   ,Diagnosis of COPD                                 
COPD,H3121,Emphysematous bronchitis                                                                                                                                                                                                                                       ,Diagnosis of COPD                                 
COPD,H3122,Acute exacerbation of chronic obstructive airways disease                                                                                                                                                                                                      ,Diagnosis of COPD                                 
COPD,H3123,Bronchiolitis obliterans                                                                                                                                                                                                                                       ,Diagnosis of COPD                                 
COPD,H312z,Obstructive chronic bronchitis NOS                                                                                                                                                                                                                             ,Diagnosis of COPD                                 
COPD,H313.,Mixed simple and mucopurulent chronic bronchitis                                                                                                                                                                                                               ,Diagnosis of COPD                                 
COPD,H31y.,Other chronic bronchitis                                                                                                                                                                                                                                       ,Diagnosis of COPD                                 
COPD,H31y1,Chronic tracheobronchitis                                                                                                                                                                                                                                      ,Diagnosis of COPD                                 
COPD,H31yz,Other chronic bronchitis NOS                                                                                                                                                                                                                                   ,Diagnosis of COPD                                 
COPD,H31z.,Chronic bronchitis NOS                                                                                                                                                                                                                                         ,Diagnosis of COPD                                 
COPD,H32..,Emphysema                                                                                                                                                                                                                                                      ,Diagnosis of COPD                                 
COPD,H320.,Chronic bullous emphysema                                                                                                                                                                                                                                      ,Diagnosis of COPD                                 
COPD,H3200,Segmental bullous emphysema                                                                                                                                                                                                                                    ,Diagnosis of COPD                                 
COPD,H3201,Zonal bullous emphysema                                                                                                                                                                                                                                        ,Diagnosis of COPD                                 
COPD,H3202,Giant bullous emphysema                                                                                                                                                                                                                                        ,Diagnosis of COPD                                 
COPD,H3203,Bullous emphysema with collapse                                                                                                                                                                                                                                ,Diagnosis of COPD                                 
COPD,H320z,Chronic bullous emphysema NOS                                                                                                                                                                                                                                  ,Diagnosis of COPD                                 
COPD,H321.,Panlobular emphysema                                                                                                                                                                                                                                           ,Diagnosis of COPD                                 
COPD,H322.,Centrilobular emphysema                                                                                                                                                                                                                                        ,Diagnosis of COPD                                 
COPD,H32y.,Other emphysema                                                                                                                                                                                                                                                ,Diagnosis of COPD                                 
COPD,H32y0,Acute vesicular emphysema                                                                                                                                                                                                                                      ,Diagnosis of COPD                                 
COPD,H32y1,Atrophic (senile) emphysema                                                                                                                                                                                                                                    ,Diagnosis of COPD                                 
COPD,H32y2,MacLeod's unilateral emphysema                                                                                                                                                                                                                                 ,Diagnosis of COPD                                 
COPD,H32yz,Other emphysema NOS                                                                                                                                                                                                                                            ,Diagnosis of COPD                                 
COPD,H32z.,Emphysema NOS                                                                                                                                                                                                                                                  ,Diagnosis of COPD                                 
COPD,H36..,Mild chronic obstructive pulmonary disease                                                                                                                                                                                                                     ,Diagnosis of COPD                                 
COPD,H37..,Moderate chronic obstructive pulmonary disease                                                                                                                                                                                                                 ,Diagnosis of COPD                                 
COPD,H38..,Severe chronic obstructive pulmonary disease                                                                                                                                                                                                                   ,Diagnosis of COPD                                 
COPD,H39..,Very severe chronic obstructive pulmonary disease                                                                                                                                                                                                              ,Diagnosis of COPD                                 
COPD,H3A..,End stage chronic obstructive airways disease                                                                                                                                                                                                                  ,Diagnosis of COPD                                 
COPD,H3y..,Other specified chronic obstructive airways disease                                                                                                                                                                                                            ,Diagnosis of COPD                                 
COPD,H3y0.,Chronic obstruct pulmonary dis with acute lower resp infectn                                                                                                                                                                                                   ,Diagnosis of COPD                                 
COPD,H3y1.,"Chron obstruct pulmonary dis wth acute exacerbation, unspec                                                                                                                                                                                                    ",Diagnosis of COPD                                 
COPD,H3z..,Chronic obstructive airways disease NOS                                                                                                                                                                                                                        ,Diagnosis of COPD                                 
COPD,H4640,Chronic emphysema due to chemical fumes                                                                                                                                                                                                                        ,Diagnosis of COPD                                 
COPD,H4641,Obliterative bronchiolitis due to chemical fumes                                                                                                                                                                                                               ,Diagnosis of COPD                                 
COPD,H5832,Eosinophilic bronchitis                                                                                                                                                                                                                                        ,Diagnosis of COPD                                 
COPD,Hyu30,[X]Other emphysema                                                                                                                                                                                                                                             ,Diagnosis of COPD                                 
COPD,Hyu31,[X]Other specified chronic obstructive pulmonary disease                                                                                                                                                                                                       ,Diagnosis of COPD                                 
