Phenotype,Read code,Description,Category
SMOKING,1371,Non-smoker (& [never smoked tobacco])                                                                                                                                                                                                                          ,N                                                 
SMOKING,1372,(Trivial smoker - < 1 cig/day) or (occasional smoker)                                                                                                                                                                                                          ,S                                                 
SMOKING,1373,Light cigarette smoker (1-9 cigs/day)                                                                                                                                                                                                                          ,S                                                 
SMOKING,1374,Moderate cigarette smoker (10-19 cigs/day)                                                                                                                                                                                                                     ,S                                                 
SMOKING,1375,Heavy cigarette smoker (20-39 cigs/day)                                                                                                                                                                                                                        ,S                                                 
SMOKING,1376,Very heavy cigarette smoker (40+ cigs/day)                                                                                                                                                                                                                     ,S                                                 
SMOKING,1377,Ex-trivial smoker (<1/day)                                                                                                                                                                                                                                     ,E                                                 
SMOKING,1378,Ex-light smoker (1-9/day)                                                                                                                                                                                                                                      ,E                                                 
SMOKING,1379,Ex-moderate smoker (10-19/day)                                                                                                                                                                                                                                 ,E                                                 
SMOKING,137A.,Ex-heavy smoker (20-39/day)                                                                                                                                                                                                                                    ,E                                                 
SMOKING,137B.,Ex-very heavy smoker (40+/day)                                                                                                                                                                                                                                 ,E                                                 
SMOKING,137F.,Ex-smoker - amount unknown                                                                                                                                                                                                                                     ,E                                                 
SMOKING,137H.,Pipe smoker                                                                                                                                                                                                                                                    ,S                                                 
SMOKING,137J.,Cigar smoker                                                                                                                                                                                                                                                   ,S                                                 
SMOKING,137K.,Stopped smoking                                                                                                                                                                                                                                                ,E                                                 
SMOKING,137L.,Current non-smoker                                                                                                                                                                                                                                             ,N                                                 
SMOKING,137M.,Rolls own cigarettes                                                                                                                                                                                                                                           ,S                                                 
SMOKING,137N.,Ex-pipe smoker                                                                                                                                                                                                                                                 ,E                                                 
SMOKING,137O.,Ex-cigar smoker                                                                                                                                                                                                                                                ,E                                                 
SMOKING,137P.,Smoker (& cigarette)                                                                                                                                                                                                                                           ,S                                                 
SMOKING,137Q.,Smoking: [started] or [restarted]                                                                                                                                                                                                                              ,S                                                 
SMOKING,137R.,Smoker                                                                                                                                                                                                                                                         ,S                                                 
SMOKING,137T.,Date ceased smoking                                                                                                                                                                                                                                            ,E                                                 
SMOKING,137l.,Ex roll-up cigarette smoker                                                                                                                                                                                                                                    ,E                                                 
SMOKING,E251.,Tobacco dependence                                                                                                                                                                                                                                             ,S                                                 
SMOKING,E2510,"Tobacco dependence, unspecified                                                                                                                                                                                                                                ",S                                                 
SMOKING,E2511,"Tobacco dependence, continuous                                                                                                                                                                                                                                 ",S                                                 
SMOKING,E2512,"Tobacco dependence, episodic                                                                                                                                                                                                                                   ",S                                                 
SMOKING,E251z,Tobacco dependence NOS                                                                                                                                                                                                                                         ,S                                                 
SMOKING,Eu17.,[X]Mental and behavioural disorder due to use of tobacco                                                                                                                                                                                                       ,S                                                 
SMOKING,Eu170,[X]Mental & behav dis due to use tobacco: acute intoxication                                                                                                                                                                                                   ,S                                                 
SMOKING,Eu171,[X]Mental and behav dis due to use of tobacco: harmful use                                                                                                                                                                                                     ,S                                                 
SMOKING,Eu172,[X]Mental and behav dis due to use tobacco: dependence syndr                                                                                                                                                                                                   ,S                                                 
SMOKING,Eu175,[X]Mental & behav dis due to use tobacco: psychotic disorder                                                                                                                                                                                                   ,S                                                 
SMOKING,Eu176,[X]Mental and behav dis due to use tobacco: amnesic syndrome                                                                                                                                                                                                   ,S                                                 
SMOKING,Eu177,[X]Men & beh dis due tobacco: resid & late-onset psychot dis                                                                                                                                                                                                   ,S                                                 
SMOKING,Eu17y,[X]Men & behav dis due to use tobacco: oth men & behav dis                                                                                                                                                                                                     ,S                                                 
SMOKING,Eu17z,[X]Ment & behav dis due use tobacco: unsp ment & behav dis                                                                                                                                                                                                     ,S                                                 
SMOKING,H3101,Smokers' cough                                                                                                                                                                                                                                                 ,S                                                 
SMOKING,Ua2Cl,Smokes in bed                                                                                                                                                                                                                                                  ,S                                                 
SMOKING,Ub0oq,Non-smoker                                                                                                                                                                                                                                                     ,N                                                 
SMOKING,Ub0p1,Time since stopped smoking                                                                                                                                                                                                                                     ,E                                                 
SMOKING,Ub1na,Ex-smoker                                                                                                                                                                                                                                                      ,E                                                 
SMOKING,Ub1tR,Occasional cigarette smoker                                                                                                                                                                                                                                    ,S                                                 
SMOKING,Ub1tS,Light cigarette smoker                                                                                                                                                                                                                                         ,S                                                 
SMOKING,Ub1tT,Moderate cigarette smoker                                                                                                                                                                                                                                      ,S                                                 
SMOKING,Ub1tU,Heavy cigarette smoker                                                                                                                                                                                                                                         ,S                                                 
SMOKING,Ub1tV,Very heavy cigarette smoker                                                                                                                                                                                                                                    ,S                                                 
SMOKING,Ub1tW,Chain smoker                                                                                                                                                                                                                                                   ,S                                                 
SMOKING,X20Qm,Smokers keratosis                                                                                                                                                                                                                                              ,S                                                 
SMOKING,XE0oh,Never smoked tobacco                                                                                                                                                                                                                                           ,N                                                 
SMOKING,XE0oi,Trivial cigarette smoker (less than one cigarette/day)                                                                                                                                                                                                         ,S                                                 
SMOKING,XE0oj,Ex-trivial cigarette smoker (<1/day)                                                                                                                                                                                                                           ,E                                                 
SMOKING,XE0ok,Ex-light cigarette smoker (1-9/day)                                                                                                                                                                                                                            ,E                                                 
SMOKING,XE0ol,Ex-moderate cigarette smoker (10-19/day)                                                                                                                                                                                                                       ,E                                                 
