Phenotype,Terminology,Code,Description,Position,Filter
covid-19_type_c,ICD-10,A00,Cholera,Primary,Include
covid-19_type_c,ICD-10,A01,Typhoid and paratyphoid fevers,Primary,Include
covid-19_type_c,ICD-10,A02,Other salmonella infections,Primary,Include
covid-19_type_c,ICD-10,A03,Shigellosis,Primary,Include
covid-19_type_c,ICD-10,A04,Other bacterial intestinal infections,Primary,Include
covid-19_type_c,ICD-10,A05,"Other bacterial foodborne intoxications, not elsewhere classified",Primary,Include
covid-19_type_c,ICD-10,A06,Amoebiasis,Primary,Include
covid-19_type_c,ICD-10,A07,Other protozoal intestinal diseases,Primary,Include
covid-19_type_c,ICD-10,A080,Rotaviral enteritis,Primary,Include
covid-19_type_c,ICD-10,A081,Acute gastroenteropathy due to Norwalk agent,Primary,Include
covid-19_type_c,ICD-10,A082,Adenoviral enteritis,Primary,Include
covid-19_type_c,ICD-10,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Primary,Include
covid-19_type_c,ICD-10,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Primary,Include
covid-19_type_c,ICD-10,A17,Tuberculosis of nervous system,Primary,Include
covid-19_type_c,ICD-10,A18,Tuberculosis of other organs,Primary,Include
covid-19_type_c,ICD-10,A19,Miliary tuberculosis,Primary,Include
covid-19_type_c,ICD-10,A2,,Primary,Include
covid-19_type_c,ICD-10,A3,,Primary,Include
covid-19_type_c,ICD-10,A5,,Primary,Include
covid-19_type_c,ICD-10,A6,,Primary,Include
covid-19_type_c,ICD-10,B00,Herpesviral [herpes simplex] infections,Primary,Include
covid-19_type_c,ICD-10,B01,Varicella [chickenpox],Primary,Include
covid-19_type_c,ICD-10,B02,Zoster [herpes zoster],Primary,Include
covid-19_type_c,ICD-10,B03,,Primary,Include
covid-19_type_c,ICD-10,B04,,Primary,Include
covid-19_type_c,ICD-10,B05,Measles,Primary,Include
covid-19_type_c,ICD-10,B06,Rubella [German measles],Primary,Include
covid-19_type_c,ICD-10,B07,,Primary,Include
covid-19_type_c,ICD-10,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Primary,Include
covid-19_type_c,ICD-10,B1,,Primary,Include
covid-19_type_c,ICD-10,B2,,Primary,Include
covid-19_type_c,ICD-10,B3,,Primary,Include
covid-19_type_c,ICD-10,B4,,Primary,Include
covid-19_type_c,ICD-10,B5,,Primary,Include
covid-19_type_c,ICD-10,B6,,Primary,Include
covid-19_type_c,ICD-10,B7,,Primary,Include
covid-19_type_c,ICD-10,B8,,Primary,Include
covid-19_type_c,ICD-10,D50,Iron deficiency anaemia,Primary,Include
covid-19_type_c,ICD-10,D51,Vitamin B₁₂ deficiency anaemia,Primary,Include
covid-19_type_c,ICD-10,D52,Folate deficiency anaemia,Primary,Include
covid-19_type_c,ICD-10,D53,Other nutritional anaemias,Primary,Include
covid-19_type_c,ICD-10,D73,Diseases of spleen,Primary,Include
covid-19_type_c,ICD-10,E0,,Primary,Include
covid-19_type_c,ICD-10,E2,,Primary,Include
covid-19_type_c,ICD-10,E3,,Primary,Include
covid-19_type_c,ICD-10,E5,,Primary,Include
covid-19_type_c,ICD-10,F,,Primary,Include
covid-19_type_c,ICD-10,G0,,Primary,Include
covid-19_type_c,ICD-10,G5,,Primary,Include
covid-19_type_c,ICD-10,G6,,Primary,Include
covid-19_type_c,ICD-10,G9,,Primary,Include
covid-19_type_c,ICD-10,H,,Primary,Include
covid-19_type_c,ICD-10,I0,,Primary,Include
covid-19_type_c,ICD-10,I60,Subarachnoid haemorrhage,Primary,Include
covid-19_type_c,ICD-10,I61,Intracerebral haemorrhage,Primary,Include
covid-19_type_c,ICD-10,I62,Other nontraumatic intracranial haemorrhage,Primary,Include
covid-19_type_c,ICD-10,I7,,Primary,Include
covid-19_type_c,ICD-10,I8,,Primary,Include
covid-19_type_c,ICD-10,J6,,Primary,Include
covid-19_type_c,ICD-10,J95,"Postprocedural respiratory disorders, not elsewhere classified",Primary,Include
covid-19_type_c,ICD-10,K0,,Primary,Include
covid-19_type_c,ICD-10,K1,,Primary,Include
