icd_code,icd_term
Q000,Anencephaly
Q001,Craniorachischisis
Q002,Iniencephaly
Q010,Frontal encephalocele
Q011,Nasofrontal encephalocele
Q012,Occipital encephalocele
Q018,Encephalocele of other sites
Q019,"Encephalocele, unspecified"
Q02,Microcephaly
Q030,Malformations of aqueduct of Sylvius
Q031,Atresia of foramina of Magendie and Luschka
Q038,Other congenital hydrocephalus
Q039,"Congenital hydrocephalus, unspecified"
Q040,Congenital malformations of corpus callosum
Q041,Arhinencephaly
Q042,Holoprosencephaly
Q043,Other reduction deformities of brain
Q044,Septo-optic dysplasia
Q045,Megalencephaly
Q046,Congenital cerebral cysts
Q048,Other specified congenital malformations of brain
Q049,"Congenital malformation of brain, unspecified"
Q050,Cervical spina bifida with hydrocephalus
Q051,Thoracic spina bifida with hydrocephalus
Q052,Lumbar spina bifida with hydrocephalus
Q053,Sacral spina bifida with hydrocephalus
Q054,Unspecified spina bifida with hydrocephalus
Q055,Cervical spina bifida without hydrocephalus
Q056,Thoracic spina bifida without hydrocephalus
Q057,Lumbar spina bifida without hydrocephalus
Q058,Sacral spina bifida without hydrocephalus
Q059,"Spina bifida, unspecified"
Q060,Amyelia
Q061,Hypoplasia and dysplasia of spinal cord
Q062,Diastematomyelia
Q063,Other congenital cauda equina malformations
Q064,Hydromyelia
Q068,Other specified congenital malformations of spinal cord
Q069,"Congenital malformation of spinal cord, unspecified"
Q070,Arnold-Chiari syndrome
Q078,Other specified congenital malformations of nervous system
Q079,"Congenital malformation of nervous system, unspecified"
Q200,Common arterial trunk
Q201,Double outlet right ventricle
Q202,Double outlet left ventricle
Q203,Discordant ventriculoarterial connection
Q204,Double inlet ventricle
Q205,Discordant atrioventricular connection
Q206,Isomerism of atrial appendages
Q208,Other congenital malformations of cardiac chambers and connections
Q209,"Congenital malformation of cardiac chambers and connections, unspecified"
Q212,Atrioventricular septal defect
Q213,Tetralogy of Fallot
Q214,Aortopulmonary septal defect
Q218,Other congenital malformations of cardiac septa
Q219,"Congenital malformation of cardiac septum, unspecified"
Q220,Pulmonary valve atresia
Q221,Congenital pulmonary valve stenosis
Q222,Congenital pulmonary valve insufficiency
Q223,Other congenital malformations of pulmonary valve
Q224,Congenital tricuspid stenosis
Q225,Ebstein anomaly
Q226,Hypoplastic right heart syndrome
Q228,Other congenital malformations of tricuspid valve
Q229,"Congenital malformation of tricuspid valve, unspecified"
Q230,Congenital stenosis of aortic valve
Q231,Congenital insufficiency of aortic valve
Q232,Congenital mitral stenosis
Q233,Congenital mitral insufficiency
Q234,Hypoplastic left heart syndrome
Q238,Other congenital malformations of aortic and mitral valves
Q239,"Congenital malformation of aortic and mitral valves, unspecified"
Q240,Dextrocardia
Q241,Laevocardia
Q242,Cor triatriatum
Q243,Pulmonary infundibular stenosis
Q244,Congenital subaortic stenosis
Q245,Malformation of coronary vessels
Q246,Congenital heart block
Q248,Other specified congenital malformations of heart
Q249,"Congenital malformation of heart, unspecified"
Q251,Coarctation of aorta
Q252,Atresia of aorta
Q253,Stenosis of aorta
Q254,Other congenital malformations of aorta
Q255,Atresia of pulmonary artery
Q256,Stenosis of pulmonary artery
Q257,Other congenital malformations of pulmonary artery
Q258,Other congenital malformations of great arteries
Q259,"Congenital malformation of great arteries, unspecified"
Q260,Congenital stenosis of vena cava
Q261,Persistent left superior vena cava
Q262,Total anomalous pulmonary venous connection
Q263,Partial anomalous pulmonary venous connection
Q264,"Anomalous pulmonary venous connection, unspecified"
Q265,Anomalous portal venous connection
Q266,Portal vein-hepatic artery fistula
Q268,Other congenital malformations of great veins
Q269,"Congenital malformation of great vein, unspecified"
Q282,Arteriovenous malformation of cerebral vessels
Q283,Other malformations of cerebral vessels
Q289,"Congenital malformation of circulatory system, unspecified"
Q300,Choanal atresia
Q301,Agenesis and underdevelopment of nose
Q302,"Fissured, notched and cleft nose"
Q303,Congenital perforated nasal septum
Q308,Other congenital malformations of nose
Q309,"Congenital malformation of nose, unspecified"
Q310,Web of larynx
Q311,Congenital subglottic stenosis
Q312,Laryngeal hypoplasia
Q313,Laryngocele
Q315,Congenital laryngomalacia
Q318,Other congenital malformations of larynx
Q319,"Congenital malformation of larynx, unspecified"
Q320,Congenital tracheomalacia
Q321,Other congenital malformations of trachea
Q322,Congenital bronchomalacia
Q323,Congenital stenosis of bronchus
Q324,Other congenital malformations of bronchus
Q330,Congenital cystic lung
Q331,Accessory lobe of lung
Q332,Sequestration of lung
Q333,Agenesis of lung
Q334,Congenital bronchiectasis
Q335,Ectopic tissue in lung
Q336,Hypoplasia and dysplasia of lung
Q338,Other congenital malformations of lung
Q339,"Congenital malformation of lung, unspecified"
Q340,Anomaly of pleura
Q341,Congenital cyst of mediastinum
Q348,Other specified congenital malformations of respiratory system
Q349,"Congenital malformation of respiratory system, unspecified"
Q390,Atresia of oesophagus without fistula
Q391,Atresia of oesophagus with tracheo-oesophageal fistula
Q392,Congenital tracheo-oesophageal fistula without atresia
Q393,Congenital stenosis and stricture of oesophagus
Q394,Oesophageal web
Q410,"Congenital absence, atresia and stenosis of duodenum"
Q411,"Congenital absence, atresia and stenosis of jejunum"
Q412,"Congenital absence, atresia and stenosis of ileum"
Q418,"Congenital absence, atresia and stenosis of other specified parts of small intestine"
Q419,"Congenital absence, atresia and stenosis of small intestine, part unspecified"
Q420,"Congenital absence, atresia and stenosis of rectum with fistula"
Q421,"Congenital absence, atresia and stenosis of rectum without fistula"
Q422,"Congenital absence, atresia and stenosis of anus with fistula"
Q423,"Congenital absence, atresia and stenosis of anus without fistula"
Q428,"Congenital absence, atresia and stenosis of other parts of large intestine"
Q429,"Congenital absence, atresia and stenosis of large intestine, part unspecified"
Q430,Meckel diverticulum
Q431,Hirschsprung disease
Q432,Other congenital functional disorders of colon
Q433,Congenital malformations of intestinal fixation
Q434,Duplication of intestine
Q435,Ectopic anus
Q436,Congenital fistula of rectum and anus
Q437,Persistent cloaca
Q438,Other specified congenital malformations of intestine
Q439,"Congenital malformation of intestine, unspecified"
Q440,"Agenesis, aplasia and hypoplasia of gallbladder"
Q441,Other congenital malformations of gallbladder
Q442,Atresia of bile ducts
Q443,Congenital stenosis and stricture of bile ducts
Q444,Choledochal cyst
Q445,Other congenital malformations of bile ducts
Q446,Cystic disease of liver
Q447,Other congenital malformations of liver
Q450,"Agenesis, aplasia and hypoplasia of pancreas"
Q451,Annular pancreas
Q452,Congenital pancreatic cyst
Q453,Other congenital malformations of pancreas and pancreatic duct
Q458,Other specified congenital malformations of digestive system
Q459,"Congenital malformation of digestive system, unspecified"
Q600,"Renal agenesis, unilateral"
Q601,"Renal agenesis, bilateral"
Q602,"Renal agenesis, unspecified"
Q603,"Renal hypoplasia, unilateral"
Q604,"Renal hypoplasia, bilateral"
Q605,"Renal hypoplasia, unspecified"
Q606,Potter syndrome
Q610,Congenital single renal cyst
Q611,"Polycystic kidney, autosomal recessive"
Q612,"Polycystic kidney, autosomal dominant"
Q613,"Polycystic kidney, unspecified"
Q614,Renal dysplasia
Q615,Medullary cystic kidney
Q618,Other cystic kidney diseases
Q619,"Cystic kidney disease, unspecified"
Q620,Congenital hydronephrosis
Q621,Atresia and stenosis of ureter
Q622,Congenital megaloureter
Q623,Other obstructive defects of renal pelvis and ureter
Q624,Agenesis of ureter
Q625,Duplication of ureter
Q626,Malposition of ureter
Q627,Congenital vesico-uretero-renal reflux
Q628,Other congenital malformations of ureter
Q630,Accessory kidney
Q631,"Lobulated, fused and horseshoe kidney"
Q632,Ectopic kidney
Q633,Hyperplastic and giant kidney
Q638,Other specified congenital malformations of kidney
Q639,"Congenital malformation of kidney, unspecified"
Q640,Epispadias
Q641,Exstrophy of urinary bladder
Q642,Congenital posterior urethral valves
Q643,Other atresia and stenosis of urethra and bladder neck
Q644,Malformation of urachus
Q645,Congenital absence of bladder and urethra
Q646,Congenital diverticulum of bladder
Q647,Other congenital malformations of bladder and urethra
Q648,Other specified congenital malformations of urinary system
Q649,"Congenital malformation of urinary system, unspecified"
Q722,Congenital absence of both lower leg and foot
Q750,Craniosynostosis
Q752,Hypertelorism
Q759,"Congenital malformation of skull and face bones, unspecified"
Q760,Spina bifida occulta
Q761,Klippel-Feil syndrome
Q762,Congenital spondylolisthesis
Q764,"Other congenital malformations of spine, not associated with scoliosis"
Q765,Cervical rib
Q766,Other congenital malformations of ribs
Q767,Congenital malformation of sternum
Q770,Achondrogenesis
Q771,Thanatophoric short stature
Q772,Short rib syndrome
Q773,Chondrodysplasia punctata
Q774,Achondroplasia
Q775,Dystrophic dysplasia
Q776,Chondroectodermal dysplasia
Q777,Spondyloepiphyseal dysplasia
Q778,Other osteochondrodysplasia with defects of growth of tubular bones and spine
Q779,"Osteochondrodysplasia with defects of growth of tubular bones and spine, unspecified"
Q780,Osteogenesis imperfecta
Q781,Polyostotic fibrous dysplasia
Q782,Osteopetrosis
Q783,Progressive diaphyseal dysplasia
Q784,Enchondromatosis
Q788,Other specified osteochondrodysplasias
Q789,"Osteochondrodysplasia, unspecified"
Q790,Congenital diaphragmatic hernia
Q791,Other congenital malformations of diaphragm
Q792,Exomphalos
Q793,Gastroschisis
Q794,Prune belly syndrome
Q795,Other congenital malformations of abdominal wall
Q799,"Congenital malformation of musculoskeletal system, unspecified"
Q810,Epidermolysis bullosa simplex
Q811,Epidermolysis bullosa letalis
Q812,Epidermolysis bullosa dystrophica
Q818,Other epidermolysis bullosa
Q819,"Epidermolysis bullosa, unspecified"
Q851,Tuberous sclerosis
Q871,Congenital malformation syndromes predominantly associated with short stature
Q872,Congenital malformation syndromes predominantly involving limbs
Q873,Congenital malformation syndromes involving early overgrowth
Q878,"Other specified congenital malformation syndromes, not elsewhere classified"
Q897,"Multiple congenital malformations, not elsewhere classified"
Q899,"Congenital malformation, unspecified"
Q909,"Down syndrome, unspecified"
Q913,"Edwards' syndrome, unspecified"
Q914,"Trisomy 13, meiotic nondisjunction"
Q917,"Patau syndrome, unspecified"
Q928,Other specified trisomies and partial trisomies of autosomes
Q930,"Whole chromosome monosomy, meiotic nondisjunction"
Q931,"Whole chromosome monosomy, mosaicism (mitotic nondisjunction)"
Q932,Chromosome replaced with ring or dicentric
Q933,Deletion of short arm of chromosome 4
Q934,Deletion of short arm of chromosome 5
Q935,Other deletions of part of a chromosome
Q936,Deletions seen only at prometaphase
Q937,Deletions with other complex rearrangements
Q938,Other deletions from the autosomes
Q939,"Deletion from autosomes, unspecified"
Q950,Balanced translocation and insertion in normal individual
Q969,"Turner syndrome, unspecified"
Q970,"Karyotype 47,XXX"
Q971,Female with more than three X chromosomes
Q972,"Mosaicism, lines with various numbers of X chromosomes"
Q973,"Female with 46,XY karyotype"
Q978,"Other specified sex chromosome abnormalities, female phenotype"
Q979,"Sex chromosome abnormality, female phenotype, unspecified"
Q980,"Klinefelter syndrome karyotype 47,XXY"
Q981,"Klinefelter syndrome, male with more than two X chromosomes"
Q982,"Klinefelter syndrome, male with 46,XX karyotype"
Q983,"Other male with 46,XX karyotype"
Q984,"Klinefelter syndrome, unspecified"
Q985,"Karyotype 47,XYY"
Q986,Male with structurally abnormal sex chromosome
Q987,Male with sex chromosome mosaicism
Q988,"Other specified sex chromosome abnormalities, male phenotype"
Q989,"Sex chromosome abnormality, male phenotype, unspecified"
Q992,Fragile X chromosome
Q998,Other specified chromosome abnormalities
Q999,"Chromosomal abnormality, unspecified"
