Phenotype,Terminology,Code,Description,Filter,Lookback
uhc_digestive_and_liver_conditions,ICD-10,K44,Diaphragmatic hernia,Include,
uhc_digestive_and_liver_conditions,ICD-10,K50,Crohn disease [regional enteritis],Include,
uhc_digestive_and_liver_conditions,ICD-10,K51,Ulcerative colitis,Include,
uhc_digestive_and_liver_conditions,ICD-10,K52,Other noninfective gastroenteritis and colitis,Include,
uhc_digestive_and_liver_conditions,ICD-10,K71,Toxic liver disease,Include,
uhc_digestive_and_liver_conditions,ICD-10,K721,Chronic hepatic failure,Include,
uhc_digestive_and_liver_conditions,ICD-10,K740,Hepatic fibrosis,Include,
uhc_digestive_and_liver_conditions,ICD-10,K741,Hepatic sclerosis,Include,
uhc_digestive_and_liver_conditions,ICD-10,K744,Secondary biliary cirrhosis,Include,
uhc_digestive_and_liver_conditions,ICD-10,K745,"Biliary cirrhosis, unspecified",Include,
uhc_digestive_and_liver_conditions,ICD-10,K75,Other inflammatory liver diseases,Include,
uhc_digestive_and_liver_conditions,ICD-10,K754,Autoimmune hepatitis,Include,
uhc_digestive_and_liver_conditions,ICD-10,K90,Intestinal malabsorption,Include,
uhc_digestive_and_liver_conditions,ICD-10,Q35,Cleft palate,Include,
uhc_digestive_and_liver_conditions,ICD-10,Q36,Cleft lip,Include,
uhc_digestive_and_liver_conditions,ICD-10,Q37,Cleft palate with cleft lip,Include,
uhc_digestive_and_liver_conditions,ICD-10,Q39,Congenital malformations of oesophagus,Include,
uhc_digestive_and_liver_conditions,ICD-10,Q4,,Include,
uhc_digestive_and_liver_conditions,ICD-10,K21,Gastro-oesophageal reflux disease,Include,5 years
uhc_digestive_and_liver_conditions,ICD-10,K22,Other diseases of oesophagus,Include,
uhc_digestive_and_liver_conditions,ICD-10,K528,Other specified noninfective gastroenteritis and colitis,Filter,
uhc_digestive_and_liver_conditions,ICD-10,K529,"Noninfective gastroenteritis and colitis, unspecified",Filter,
