Phenotype,Terminology,Code,Description,Filter,Lookback
uhc_blood_disorders_and_immune_deficiencies,ICD-10,B2,,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D55,Anaemia due to enzyme disorders,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D56,Thalassaemia,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D57,Sickle-cell disorders,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D58,Other hereditary haemolytic anaemias,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D60,Acquired pure red cell aplasia [erythroblastopenia],Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D61,Other aplastic anaemias,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D64,Other anaemias,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D66,,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D67,,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D680,Von Willebrand disease,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D681,Hereditary factor XI deficiency,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D682,Hereditary deficiency of other clotting factors,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D71,,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D730,Hyposplenism,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D731,Hypersplenism,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D8,,Include,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,B25,Cytomegaloviral disease,Filter,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,B26,Mumps,Filter,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,B27,Infectious mononucleosis,Filter,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,B28,,Filter,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,B29,,Filter,
uhc_blood_disorders_and_immune_deficiencies,ICD-10,D649,"Anaemia, unspecified",Filter,
