conceptId,term,type
7713009,Intrapontine hemorrhage,1
49422009,Cortical hemorrhage,1
52201006,Internal capsule hemorrhage,1
75038005,Cerebellar hemorrhage,1
195165005,Basal ganglia hemorrhage,1
195167002,External capsule hemorrhage,1
195168007,"Intracerebral haemorrhage, intraventricular",1
195169004,"Intracerebral hemorrhage, multiple localized",1
230710000,Lobar cerebral hemorrhage,1
274100004,Cerebral hemorrhage,1
308128006,"Right sided intracerebral hemorrhage, unspecified",1
732923001,Hemorrhage of medulla oblongata (disorder),1
230712008,Lacunar hemorrhage (disorder),1
276722003,Intracerebellar and posterior fossa hemorrhage (disorder),1
95454007,Brain stem hemorrhage (disorder),1
1078001000000105,Haemorrhagic stroke (disorder),1
20908003,Subcortical cerebral hemorrhage (disorder),1
230709005,Massive supratentorial cerebral hemorrhage (disorder),1
230711001,Thalamic hemorrhage (disorder),1
