terminology,code,term
BNF,0703010G0BHAAAC,Cilique 250microgram/35microgram tablets
BNF,0703010P0BIAAAA,TriRegol tablets
BNF,0703010E0BSAAAF,Daylette 0.02mg/3mg tablets
BNF,0703010F0CJAAAJ,Ellanite 0.03mg/3mg tablets
BNF,0703010F0BMAAAE,Katya 30/75 tablets
BNF,0703011A0BBAAAA,NuvaRing 0.12mg/0.015mg per day vaginal delivery system
BNF,0703010G0BDAAAB,Norimin 1mg/35microgram tablets
BNF,0703010E0BNAAAB,Munalea 150microgram/20microgram tablets
BNF,0703010F0BSAAAC,Elevin 150microgram/30microgram tablets
BNF,0703010G0AAACAC,Ethinylestradiol 35microgram / Norgestimate 250microgram tab
BNF,0703010F0BNABAC,Levest 150/30 tablets (Actavis)
BNF,0703010E0AAABAB,Ethinylestradiol 20microgram / Desogestrel 150microgram tab
BNF,0703010F0CKAAAE,Akizza 75microgram/30microgram tablets
BNF,0703010F0BQAAAA,Gedarel 30microgram/150microgram tablets
BNF,0703010E0BTAAAC,Juliperla 75microgram/20microgram tablets
BNF,0703010F0BXAAAE,Aidulan 30microgram/75microgram tablets
BNF,0703010F0AAAAAA,Ethinylestradiol 30microgram / Desogestrel 150microgram tab
BNF,0703010S0AAAAAA,Estradiol 1.5mg / Nomegestrol 2.5mg tablets
BNF,0703010F0CIAAAC,Leandra 30microgram/150microgram tablets
BNF,0703010E0BIAAAB,Gedarel 20microgram/150microgram tablets
BNF,0703010E0AAAEAE,Ethinylest 33.9microg/Norelgestromin 203microg/24hours ptch
BNF,0703010G0BCAAAA,Brevinor 500microgram/35microgram tablets
BNF,0703010F0BNAAAC,Levest 150/30 tablets (Morningside)
BNF,0703010E0BHAAAC,Sunya 20/75 tablets
BNF,0703010F0BRAAAE,Millinette 30microgram/75microgram tablets
BNF,0703010F0BYAAAC,Maexeni 150microgram/30microgram tablets
BNF,0703010F0BEAAAC,Microgynon 30 tablets
BNF,0703010P0BEAAAF,Synphase tablets (Pfizer)
BNF,0703010P0BDAAAB,Binovum tablets
BNF,0703010F0CEAAAJ,Dretine 0.03mg/3mg tablets
BNF,0703010E0BDAAAC,Femodette tablets
BNF,0703010F0BPAAAC,Rigevidon tablets
BNF,0703010P0BFAAAC,Trinovum tablets
BNF,0703010E0AAAFAF,Ethinylestradiol 20microgram / Drospirenone 3mg tablets
BNF,0703010M0AAAAAA,Mestranol 50microgram / Norethisterone 1mg tablets
BNF,0703010F0BJABAG,Femodene ED tablets
BNF,0703010F0AAAEAE,Ethinylestradiol 30microgram / Gestodene 75microgram tablets
BNF,0703010F0BIAAAF,Loestrin 30 tablets
BNF,0703010M0BBAAAA,Norinyl-1 tablets
BNF,0703010E0BBAAAA,Loestrin 20 tablets
BNF,0703010E0AAAAAA,Ethinylestradiol 20microg / Norethisterone acetate 1mg tab
BNF,0703010F0AAAHAH,Generic Microgynon 30 ED tablets
