Phenotype,Read code,Description,Category
DEPRESSION,1465,H/O: depression                                                                                                                                                                                                                                                ,History of Depression                             
DEPRESSION,212S.,Depression resolved                                                                                                                                                                                                                                            ,History of Depression                             
DEPRESSION,8BK0.,Depression management programme                                                                                                                                                                                                                                ,History of Depression                             
DEPRESSION,8CAa.,Patient given advice about management of depression                                                                                                                                                                                                            ,History of Depression                             
DEPRESSION,8HHq.,Referral for guided self-help for depression                                                                                                                                                                                                                   ,History of Depression                             
DEPRESSION,9H90.,Depression annual review                                                                                                                                                                                                                                       ,History of Depression                             
DEPRESSION,9H91.,Depression medication review                                                                                                                                                                                                                                   ,History of Depression                             
DEPRESSION,9H92.,Depression interim review                                                                                                                                                                                                                                      ,History of Depression                             
DEPRESSION,9HA0.,On depression register                                                                                                                                                                                                                                         ,History of Depression                             
DEPRESSION,9Ov..,Depression monitoring administration                                                                                                                                                                                                                           ,History of Depression                             
DEPRESSION,9Ov0.,Depression monitoring first letter                                                                                                                                                                                                                             ,History of Depression                             
DEPRESSION,9Ov1.,Depression monitoring second letter                                                                                                                                                                                                                            ,History of Depression                             
DEPRESSION,9Ov2.,Depression monitoring third letter                                                                                                                                                                                                                             ,History of Depression                             
DEPRESSION,9Ov3.,Depression monitoring verbal invite                                                                                                                                                                                                                            ,History of Depression                             
DEPRESSION,9Ov4.,Depression monitoring telephone invite                                                                                                                                                                                                                         ,History of Depression                             
DEPRESSION,9k4..,Depression - enhanced services administration                                                                                                                                                                                                                  ,History of Depression                             
DEPRESSION,9k40.,Depression - enhanced service completed                                                                                                                                                                                                                        ,History of Depression                             
DEPRESSION,9kQ..,On full dose long term treatment depression - enh serv admin                                                                                                                                                                                                   ,History of Depression                             
DEPRESSION,E0013,Presenile dementia with depression                                                                                                                                                                                                                             ,Diagnosis of Depression                           
DEPRESSION,E0021,Senile dementia with depression                                                                                                                                                                                                                                ,Diagnosis of Depression                           
DEPRESSION,E0043,Arteriosclerotic dementia with depression                                                                                                                                                                                                                      ,Diagnosis of Depression                           
DEPRESSION,E112.,Single major depressive episode                                                                                                                                                                                                                                ,Diagnosis of Depression                           
DEPRESSION,E1120,"Single major depressive episode, unspecified                                                                                                                                                                                                                   ",Diagnosis of Depression                           
DEPRESSION,E1121,"Single major depressive episode, mild                                                                                                                                                                                                                          ",Diagnosis of Depression                           
DEPRESSION,E1122,"Single major depressive episode, moderate                                                                                                                                                                                                                      ",Diagnosis of Depression                           
DEPRESSION,E1123,"Single major depressive episode, severe, without psychosis                                                                                                                                                                                                     ",Diagnosis of Depression                           
DEPRESSION,E1124,"Single major depressive episode, severe, with psychosis                                                                                                                                                                                                        ",Diagnosis of Depression                           
DEPRESSION,E1125,"Single major depressive episode, partial or unspec remission                                                                                                                                                                                                   ",Diagnosis of Depression                           
DEPRESSION,E1126,"Single major depressive episode, in full remission                                                                                                                                                                                                             ",History of Depression                             
DEPRESSION,E112z,Single major depressive episode NOS                                                                                                                                                                                                                            ,Diagnosis of Depression                           
DEPRESSION,E113.,Recurrent major depressive episode                                                                                                                                                                                                                             ,Diagnosis of Depression                           
