Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,I63,Cerebral infarction,res42: cardiovascular disease,diagnostic
ICD-10,I23.8,Other current complications following acute myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I23,Certain current complications following acute myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute my",res42: cardiovascular disease,diagnostic
ICD-10,I22.9,Subsequent myocardial infarction of unspecified site,res42: cardiovascular disease,diagnostic
ICD-10,I21,Acute myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I21.3,Acute transmural myocardial infarction of unspecified site,res42: cardiovascular disease,diagnostic
ICD-10,I21.0,Acute transmural myocardial infarction of anterior wall,res42: cardiovascular disease,diagnostic
ICD-10,I22.8,Subsequent myocardial infarction of other sites,res42: cardiovascular disease,diagnostic
ICD-10,I21.1,Acute transmural myocardial infarction of inferior wall,res42: cardiovascular disease,diagnostic
ICD-10,I21.2,Acute transmural myocardial infarction of other sites,res42: cardiovascular disease,diagnostic
ICD-10,I22.1,Subsequent myocardial infarction of inferior wall,res42: cardiovascular disease,diagnostic
ICD-10,I21.4,Acute subendocardial myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I22.0,Subsequent myocardial infarction of anterior wall,res42: cardiovascular disease,diagnostic
ICD-10,I21.9,"Acute myocardial infarction, unspecified",res42: cardiovascular disease,diagnostic
ICD-10,I22,Subsequent myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I23.0,Haemopericardium as current complication following acute myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial ,res42: cardiovascular disease,diagnostic
ICD-10,I23.2,Ventricular septal defect as current complication following acute myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I23.1,Atrial septal defect as current complication following acute myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction,res42: cardiovascular disease,diagnostic
ICD-10,I63.3,Cerebral infarction due to thrombosis of cerebral arteries,res42: cardiovascular disease,diagnostic
ICD-10,I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,res42: cardiovascular disease,diagnostic
ICD-10,I63.1,Cerebral infarction due to embolism of precerebral arteries,res42: cardiovascular disease,diagnostic
ICD-10,I63.0,Cerebral infarction due to thrombosis of precerebral arteries,res42: cardiovascular disease,diagnostic
ICD-10,I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",res42: cardiovascular disease,diagnostic
ICD-10,I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,res42: cardiovascular disease,diagnostic
ICD-10,I63.4,Cerebral infarction due to embolism of cerebral arteries,res42: cardiovascular disease,diagnostic
ICD-10,I64.0,"Stroke, not specified as haemorrhage or infarction",res42: cardiovascular disease,diagnostic
ICD-10,I64,"Stroke, not specified as haemorrhage or infarction",res42: cardiovascular disease,diagnostic
ICD-10,I63.8,Other cerebral infarction,res42: cardiovascular disease,diagnostic
ICD-10,I63.9,"Cerebral infarction, unspecified",res42: cardiovascular disease,diagnostic
Read,G301.00,Other specified anterior myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G384.00,Postoperative subendocardial myocardial infarction,res42: cardiovascular disease,diagnostic
Read,323..00,ECG: myocardial infarction,res42: cardiovascular disease,diagnostic
Read,G30..17,Silent myocardial infarction,res42: cardiovascular disease,diagnostic
