Phenotype,Read code,Description,Category
AMI,14A3.,H/O: myocardial infarct <60                                                                                                                                                                                                                                    ,History of MI (1)                                 
AMI,14A4.,H/O: myocardial infarct >60                                                                                                                                                                                                                                    ,History of MI (1)                                 
AMI,14AH.,H/O: Myocardial infarction in last year                                                                                                                                                                                                                        ,History of MI (1)                                 
AMI,323..,ECG: myocardial infarction                                                                                                                                                                                                                                     ,Acute MI not further specified (5)                
AMI,3233,ECG: antero-septal infarct.                                                                                                                                                                                                                                    ,Acute MI not further specified (5)                
AMI,3234,ECG:posterior/inferior infarct                                                                                                                                                                                                                                 ,Acute MI not further specified (5)                
AMI,3235,ECG: subendocardial infarct                                                                                                                                                                                                                                    ,Acute MI not further specified (5)                
AMI,3236,ECG: lateral infarction                                                                                                                                                                                                                                        ,Acute MI not further specified (5)                
AMI,323Z.,ECG: myocardial infarct NOS                                                                                                                                                                                                                                    ,Acute MI not further specified (5)                
AMI,889A.,Diab mellit insulin-glucose infus acute myocardial infarct                                                                                                                                                                                                     ,Acute MI not further specified (5)                
AMI,G30..,Acute myocardial infarction                                                                                                                                                                                                                                    ,Possible MI or uncertain date (2)                 
AMI,G30..,Acute myocardial infarction                                                                                                                                                                                                                                    ,Acute MI not further specified (5)                
AMI,G300.,Acute anterolateral infarction                                                                                                                                                                                                                                 ,Acute MI not further specified (5)                
AMI,G301.,Other specified anterior myocardial infarction                                                                                                                                                                                                                 ,Acute MI not further specified (5)                
AMI,G3010,Acute anteroapical infarction                                                                                                                                                                                                                                  ,Acute MI not further specified (5)                
AMI,G3011,Acute anteroseptal infarction                                                                                                                                                                                                                                  ,Acute MI not further specified (5)                
AMI,G301z,Anterior myocardial infarction NOS                                                                                                                                                                                                                             ,Acute MI not further specified (5)                
AMI,G302.,Acute inferolateral infarction                                                                                                                                                                                                                                 ,Acute MI not further specified (5)                
AMI,G303.,Acute inferoposterior infarction                                                                                                                                                                                                                               ,Acute MI not further specified (5)                
AMI,G304.,Posterior myocardial infarction NOS                                                                                                                                                                                                                            ,Acute MI not further specified (5)                
AMI,G305.,Lateral myocardial infarction NOS                                                                                                                                                                                                                              ,Acute MI not further specified (5)                
AMI,G306.,True posterior myocardial infarction                                                                                                                                                                                                                           ,Acute MI not further specified (5)                
AMI,G307.,Acute subendocardial infarction                                                                                                                                                                                                                                ,Acute MI not further specified (5)                
