Phenotype,Terminology,Code,Description,Position,Filter
covid-19_type_a2,ICD-10,A084,"Viral intestinal infection, unspecified",Primary,Include
covid-19_type_a2,ICD-10,A083,Other viral enteritis,Primary,Include
covid-19_type_a2,ICD-10,A085,Other specified intestinal infections,Primary,Include
covid-19_type_a2,ICD-10,A090,Other and unspecified gastroenteritis and colitis of infectious origin,Primary,Include
covid-19_type_a2,ICD-10,A099,Gastroenteritis and colitis of unspecified origin,Primary,Include
covid-19_type_a2,ICD-10,A419,"Sepsis, unspecified",Primary,Include
covid-19_type_a2,ICD-10,B348,Other viral infections of unspecified site,Primary,Include
covid-19_type_a2,ICD-10,B309,"Viral conjunctivitis, unspecified",Primary,Include
covid-19_type_a2,ICD-10,B338,Other specified viral diseases,Primary,Include
covid-19_type_a2,ICD-10,B349,"Viral infection, unspecified",Primary,Include
covid-19_type_a2,ICD-10,B972,Coronavirus as the cause of diseases classified to other chapters,Primary,Include
covid-19_type_a2,ICD-10,B99,,Primary,Include
covid-19_type_a2,ICD-10,D762,"Haemophagocytic syndrome, infection-associated",Primary,Include
covid-19_type_a2,ICD-10,E86,,Primary,Include
covid-19_type_a2,ICD-10,E87,"Other disorders of fluid, electrolyte and acid-base balance",Primary,Include
covid-19_type_a2,ICD-10,H669,"Otitis media, unspecified",Primary,Include
covid-19_type_a2,ICD-10,I1254,,Primary,Include
covid-19_type_a2,ICD-10,I126,,Primary,Include
covid-19_type_a2,ICD-10,I1471,,Primary,Include
covid-19_type_a2,ICD-10,I254,Coronary artery aneurysm and dissection,Primary,Include
covid-19_type_a2,ICD-10,I26,Pulmonary embolism,Primary,Include
covid-19_type_a2,ICD-10,I288,Other specified diseases of pulmonary vessels,Primary,Include
covid-19_type_a2,ICD-10,I30,Acute pericarditis,Primary,Include
covid-19_type_a2,ICD-10,I31,Other diseases of pericardium,Primary,Include
covid-19_type_a2,ICD-10,I32,Pericarditis in diseases classified elsewhere,Primary,Include
covid-19_type_a2,ICD-10,I33,Acute and subacute endocarditis,Primary,Include
