Phenotype,Read code,Description,Category
STROKE_TIA,14AB.,H/O: TIA                                                                                                                                                                                                                                                       ,History of TIA                                    
STROKE_TIA,14AB0,H/O amaurosis fugax                                                                                                                                                                                                                                            ,History of TIA                                    
STROKE_TIA,1B1S.,Transient global amnesia                                                                                                                                                                                                                                       ,Diagnosis of TIA                                  
STROKE_TIA,8CRB.,Transient ischaemic attack clinical management plan                                                                                                                                                                                                            ,Diagnosis of TIA                                  
STROKE_TIA,F4236,Amaurosis fugax                                                                                                                                                                                                                                                ,Diagnosis of TIA                                  
STROKE_TIA,Fyu55,[X]Other transnt cerebral ischaemic attacks+related syndroms                                                                                                                                                                                                   ,Diagnosis of TIA                                  
STROKE_TIA,G65..,Transient cerebral ischaemia                                                                                                                                                                                                                                   ,Diagnosis of TIA                                  
STROKE_TIA,G650.,Insufficiency - basilar artery                                                                                                                                                                                                                                 ,Diagnosis of TIA                                  
STROKE_TIA,G655.,Transient global amnesia                                                                                                                                                                                                                                       ,Diagnosis of TIA                                  
STROKE_TIA,G656.,Vertebrobasilar insufficiency                                                                                                                                                                                                                                  ,Diagnosis of TIA                                  
STROKE_TIA,G657.,Carotid territory transient ischaemic attack                                                                                                                                                                                                                   ,Diagnosis of TIA                                  
STROKE_TIA,G65y.,Other transient cerebral ischaemia                                                                                                                                                                                                                             ,Diagnosis of TIA                                  
STROKE_TIA,G65z.,Transient cerebral ischaemia NOS                                                                                                                                                                                                                               ,Diagnosis of TIA                                  
STROKE_TIA,G65z1,Intermittent cerebral ischaemia                                                                                                                                                                                                                                ,Diagnosis of TIA                                  
STROKE_TIA,G65zz,Transient cerebral ischaemia NOS                                                                                                                                                                                                                               ,Diagnosis of TIA                                  
STROKE_TIA,Z7CE7,Transient global amnesia                                                                                                                                                                                                                                       ,Diagnosis of TIA                                  
STROKE_TIA,ZV12D,[V]Personal history of transient ischaemic attack                                                                                                                                                                                                              ,History of TIA                                    
STROKE_TIA,14AB.,H/O: TIA                                                                                                                                                                                                                                                       ,History of TIA                                              
STROKE_TIA,14AB0,H/O amaurosis fugax                                                                                                                                                                                                                                            ,History of TIA                                              
STROKE_TIA,1B1S.,Transient global amnesia                                                                                                                                                                                                                                       ,Diagnosis of TIA                                            
STROKE_TIA,8CRB.,Transient ischaemic attack clinical management plan                                                                                                                                                                                                            ,Diagnosis of TIA                                            
STROKE_TIA,F4236,Amaurosis fugax                                                                                                                                                                                                                                                ,Diagnosis of TIA                                            
STROKE_TIA,Fyu55,[X]Other transnt cerebral ischaemic attacks+related syndroms                                                                                                                                                                                                   ,Diagnosis of TIA                                            
STROKE_TIA,G65..,Transient cerebral ischaemia                                                                                                                                                                                                                                   ,Diagnosis of TIA                                            
STROKE_TIA,G650.,Insufficiency - basilar artery                                                                                                                                                                                                                                 ,Diagnosis of TIA                                            
STROKE_TIA,G655.,Transient global amnesia                                                                                                                                                                                                                                       ,Diagnosis of TIA                                            
STROKE_TIA,G656.,Vertebrobasilar insufficiency                                                                                                                                                                                                                                  ,Diagnosis of TIA                                            
STROKE_TIA,G657.,Carotid territory transient ischaemic attack                                                                                                                                                                                                                   ,Diagnosis of TIA                                            
STROKE_TIA,G65y.,Other transient cerebral ischaemia                                                                                                                                                                                                                             ,Diagnosis of TIA                                            
STROKE_TIA,G65z.,Transient cerebral ischaemia NOS                                                                                                                                                                                                                               ,Diagnosis of TIA                                            
STROKE_TIA,G65z1,Intermittent cerebral ischaemia                                                                                                                                                                                                                                ,Diagnosis of TIA                                            
STROKE_TIA,G65zz,Transient cerebral ischaemia NOS                                                                                                                                                                                                                               ,Diagnosis of TIA                                            
STROKE_TIA,Z7CE7,Transient global amnesia                                                                                                                                                                                                                                       ,Diagnosis of TIA                                            
STROKE_TIA,ZV12D,[V]Personal history of transient ischaemic attack                                                                                                                                                                                                              ,History of TIA                                              
