Read code,Read term,CALIBER category
1371,Never smoked tobacco,Non smoker
1371.11,Non-smoker,Non smoker
137L.00,Current non-smoker,Non smoker
13WK.00,No smokers in the household,Non smoker
9kn..00,Non-smoker annual review - enhanced services administration,Non smoker
1377,Ex-trivial smoker (<1/day),Ex smoker
1378,Ex-light smoker (1-9/day),Ex smoker
1379,Ex-moderate smoker (10-19/day),Ex smoker
137A.00,Ex-heavy smoker (20-39/day),Ex smoker
137B.00,Ex-very heavy smoker (40+/day),Ex smoker
137F.00,Ex-smoker - amount unknown,Ex smoker
137K.00,Stopped smoking,Ex smoker
137N.00,Ex pipe smoker,Ex smoker
137O.00,Ex cigar smoker,Ex smoker
137S.00,Ex smoker,Ex smoker
137T.00,Date ceased smoking,Ex smoker
137j.00,Ex-cigarette smoker,Ex smoker
9km..00,Ex-smoker annual review - enhanced services administration,Ex smoker
E251300,Tobacco dependence in remission,Ex smoker
H310100,Smokers' cough,Ex or current smoker
ZV11600,[V]Personal history of tobacco abuse,Ex or current smoker
