Read code,Read term,CALIBER category
13H7.00,Unwanted pregnancy,Currently pregnant
13H8.00,Illegitimate pregnancy,Currently pregnant
13Hd.00,Teenage pregnancy,Currently pregnant
13S..00,Pregnancy benefits,Currently pregnant
13SZ.00,Pregnancy benefit NOS,Currently pregnant
1514.11,Due to deliver - EDC,Currently pregnant
1514.12,Estimated date of delivery,Currently pregnant
2684,O/E - VE - gravid uterus,Currently pregnant
271..11,O/E - fundus size - obstetric,Currently pregnant
2711,O/E - fundus 12-16 week size,Currently pregnant
2712,O/E - fundus 16-20 week size,Currently pregnant
2713,O/E - fundus 20-24 week size,Currently pregnant
2714,O/E - fundus 24-28 week size,Currently pregnant
2715,O/E - fundus 28-32 week size,Currently pregnant
2716,O/E - fundus 32-34 week size,Currently pregnant
2717,O/E - fundus 34-36 week size,Currently pregnant
2718,O/E - fundus 36-38 week size,Currently pregnant
2719,O/E -fundus 38 weeks-term size,Currently pregnant
271A.00,O/E - fundus = term size,Currently pregnant
2722,O/E - breech presentation,Currently pregnant
275..00,O/E - fetal movements,Currently pregnant
2752,O/E - fetal movements seen,Currently pregnant
2753,O/E - fetal movements felt,Currently pregnant
275Z.00,O/E - fetal movements NOS,Currently pregnant
4453,Serum pregnancy test positive,Currently pregnant
4654,Urine pregnancy test positive,Currently pregnant
584..00,Ultrasound in obstetric diagn.,Currently pregnant
584..11,Fetal U-S scan,Currently pregnant
584..12,"U-S scan - obstetric, diagn.",Currently pregnant
584..13,Ultra-sound scan - obstetric,Currently pregnant
5841,U-S obstetric scan requested,Currently pregnant
5842,U-S obstetric scan normal,Currently pregnant
5843,U-S obstetric scan abnormal,Currently pregnant
5844,U-S scan -placental localisatn,Currently pregnant
5844.11,Placenta U-S scan,Currently pregnant
5845,U-S scan - fetal cephalometry,Currently pregnant
5846,U-S scan - fetal maturity,Currently pregnant
5847,U-S scan - fetal abnormality,Currently pregnant
5848,U-S scan - multiple fetus,Currently pregnant
5849,U-S scan - fetal presentation,Currently pregnant
584B.00,Viability US scan,Currently pregnant
584C.00,Antenatal ultrasound result received,Currently pregnant
584D.00,Antenatal ultrasound confirms intra-uterine pregnancy,Currently pregnant
584G.00,Nuchal scan,Currently pregnant
584Z.00,U-S obstetric diagn. scan NOS,Currently pregnant
615C.00,IUD failure - pregnant,Currently pregnant
615C.11,"Pregnant, IUD failure",Currently pregnant
6166,"Pregnant, diaphragm failure",Currently pregnant
6174,"Pregnant, sheath failure",Currently pregnant
62...00,Patient pregnant,Currently pregnant
11/1/62,Antenatal care,Currently pregnant
12/1/62,Maternity care,Currently pregnant
62...13,Pregnancy care,Currently pregnant
621..00,Patient currently pregnant,Currently pregnant
621..11,Pregnancy confirmed,Currently pregnant
6211,Pregnant - urine test confirms,Currently pregnant
6212,Pregnant - blood test confirms,Currently pregnant
6213,Pregnant - V.E. confirms,Currently pregnant
6214,Pregnant - on history,Currently pregnant
6215,Pregnant - on abdom. palpation,Currently pregnant
6216,Pregnant - planned,Currently pregnant
6217,Pregnant - unplanned - wanted,Currently pregnant
6218,Pregnant -unplanned-not wanted,Currently pregnant
621A.00,Pregnancy unplanned ? wanted,Currently pregnant
621B.00,Pregnant - ? planned,Currently pregnant
621C.00,Unplanned pregnancy,Currently pregnant
621Z.00,Patient pregnant NOS,Currently pregnant
622..00,Antenatal care: gravida No.,Currently pregnant
6221,Antenatal care: primigravida,Currently pregnant
6222,Antenatal care: 2nd pregnancy,Currently pregnant
