terminology,code,term
BNF,0208020V0BBAFAS,Marevan 500microgram tablets
BNF,0208020AABBACAC,Lixiana 60mg tablets
BNF,0208020Y0AAADAD,Rivaroxaban 2.5mg tablets
BNF,0208020X0BBAAAA,Pradaxa 75mg capsules
BNF,0208020Z0BBAAAA,Eliquis 2.5mg tablets
BNF,0208020H0BBAAAA,Sinthrome 1mg tablets
BNF,0208020AAAAAAAA,Edoxaban 15mg tablets
BNF,0208020X0AAABAB,Dabigatran etexilate 110mg capsules
BNF,0208020Y0BBAAAA,Xarelto 10mg tablets
BNF,0208020X0BBABAB,Pradaxa 110mg capsules
BNF,0208020AAAAABAB,Edoxaban 30mg tablets
BNF,0208020N0AAACAC,Phenindione 50mg tablets
BNF,0208020X0AAACAC,Dabigatran etexilate 150mg capsules
BNF,0208020Y0AAACAC,Rivaroxaban 20mg tablets
BNF,0208020V0AAAAAA,Warfarin 1mg tablets
BNF,0208020AABBAAAA,Lixiana 15mg tablets
BNF,0208020Z0BBABAB,Eliquis 5mg tablets
BNF,0208020V0BBABAB,Marevan 3mg tablets
BNF,0208020Z0AAAAAA,Apixaban 2.5mg tablets
BNF,0208020X0BBACAC,Pradaxa 150mg capsules
BNF,0208020V0AAASAS,Warfarin 500microgram tablets
BNF,0208020Y0AAABAB,Rivaroxaban 15mg tablets
BNF,0208020AABBABAB,Lixiana 30mg tablets
BNF,0208020V0AAADAD,Warfarin 5mg tablets
BNF,0208020V0AAAMAM,Warfarin 3mg/5ml oral liquid
BNF,0208020S0BBAAAA,Marcoumar 3mg tablets
BNF,0208020Y0AAAEAE,Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets
BNF,0208020Y0BBACAC,Xarelto 20mg tablets
BNF,0208020V0AAAIAI,Warfarin 5mg/5ml oral liquid
BNF,0208020S0AAAAAA,Phenprocoumon 3mg tablets
BNF,0208020V0AAANAN,Warfarin 1mg/5ml oral liquid
BNF,0208020V0AABBBB,Warfarin 1mg/ml oral suspension sugar free
BNF,0208020N0AAAAAA,Phenindione 10mg tablets
BNF,0208020Y0BBAEAE,Xarelto 15mg / 20mg treatment initiation pack
BNF,0208020H0AAAAAA,Acenocoumarol 1mg tablets
BNF,0208020AAAAACAC,Edoxaban 60mg tablets
BNF,0208020Y0BBABAB,Xarelto 15mg tablets
BNF,0208020Y0BBADAD,Xarelto 2.5mg tablets
BNF,0208020X0AAAAAA,Dabigatran etexilate 75mg capsules
BNF,0208020Z0AAABAB,Apixaban 5mg tablets
BNF,0208020V0BBACAD,Marevan 5mg tablets
BNF,0208020V0AAABAB,Warfarin 3mg tablets
BNF,0208020Y0AAAAAA,Rivaroxaban 10mg tablets
BNF,0208020N0AAABAB,Phenindione 25mg tablets
BNF,0208020V0BBAAAA,Marevan 1mg tablets
