code,coding_system,description,entity,list_name,upload_date
323..00,Read,ECG: myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
323Z.00,Read,ECG: myocardial infarct NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30..00,Read,Acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G300.00,Read,Acute anterolateral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G301.00,Read,Other specified anterior myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G301000,Read,Acute anteroapical infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G301100,Read,Acute anteroseptal infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30..12,Read,Coronary thrombosis,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30..13,Read,Cardiac rupture following myocardial infarction (MI),diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30..15,Read,MI - acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30..16,Read,Thrombosis - coronary,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30..17,Read,Silent myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G301z00,Read,Anterior myocardial infarction NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G302.00,Read,Acute inferolateral infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G303.00,Read,Acute inferoposterior infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G304.00,Read,Posterior myocardial infarction NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G305.00,Read,Lateral myocardial infarction NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G306.00,Read,True posterior myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G307.00,Read,Acute subendocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G307000,Read,Acute non-Q wave infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G307100,Read,Acute non-ST segment elevation myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G308.00,Read,Inferior myocardial infarction NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G309.00,Read,Acute Q-wave infarct,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30B.00,Read,Acute posterolateral myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30X.00,Read,Acute transmural myocardial infarction of unspecif site,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30X000,Read,Acute ST segment elevation myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30y.00,Read,Other acute myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30y100,Read,Acute papillary muscle infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30y200,Read,Acute septal infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30yz00,Read,Other acute myocardial infarction NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G30z.00,Read,Acute myocardial infarction NOS,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G311000,Read,Myocardial infarction aborted,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G311011,Read,MI - myocardial infarction aborted,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G311100,Read,Unstable angina,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G311.13,Read,Unstable angina,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G311500,Read,Acute coronary syndrome,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G35..00,Read,Subsequent myocardial infarction,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G350.00,Read,Subsequent myocardial infarction of anterior wall,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G351.00,Read,Subsequent myocardial infarction of inferior wall,diagnostic,695 - res66: cardiovascular disease,2018-04-17
G353.00,Read,Subsequent myocardial infarction of other sites,diagnostic,695 - res66: cardiovascular disease,2018-04-17
