Phenotype,Terminology,Code,Description,Filter,Lookback
green_book_blood_disorders_and_immune_deficiencies,ICD-10,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,B24,,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D56,Thalassaemia,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D57,Sickle-cell disorders,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D58,Other hereditary haemolytic anaemias,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D61,Other aplastic anaemias,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D71,,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D730,Hyposplenism,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D731,Hypersplenism,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D8,,Include,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D898,"Other specified disorders involving the immune mechanism, not elsewhere classified",Filter,
green_book_blood_disorders_and_immune_deficiencies,ICD-10,D899,"Disorder involving the immune mechanism, unspecified",Filter,
