prodcode,prodname,drugsubstance,bnfcode,strength
44,prednisolone enteric coated tablets 5mg ,prednisolone,6030200,5mg
95,prednisolone tablets 5mg ,prednisolone,6030200,5mg
186,dexamethasone elixir 0.5mg/5ml ,dexamethasone,06030200/23000000,0.5mg/5ml
229,cortisone acetate tablets 25mg ,cortisone acetate,06030100/06030200,25mg
557,prednisolone enteric coated tablets 2.5mg ,prednisolone,6030200,2.5mg
578,prednisolone tablets 1mg ,prednisolone,6030200,1mg
768,KENALOG IA/IM injection 40mg/ml [SQUIBB],triamcinolone acetonide,10010202/06030200,40mg/ml
925,DEPO-MEDRONE WITH LIDOCAINE injection 40mg/ml + 10mg/ml [PHARMACIA],lidocaine hydrochloride/methylprednisolone acetate,10010202/06030200,40mg/ml + 10mg/ml
955,prednisolone sodium phosphate soluble tablet 5mg ,prednisolone sodium phosphate,6030200,5mg
1063,PREDNESOL tablets 5mg [SOVEREIGN],prednisolone sodium phosphate,6030200,5mg
1133,DEPO-MEDRONE injection 40mg/ml [PHARMACIA],methylprednisolone acetate,10010202/06030200,40mg/ml
1280,dexamethasone tablets 2mg ,dexamethasone,6030200,2mg
1332,CORLAN pellet 2.5mg [UCB],hydrocortisone sodium succinate,12030100,2.5mg
1893,HYDROCORTISTAB injection suspension 25mg/1ml [SOVEREIGN],hydrocortisone acetate,10010202,25mg/1ml
1971,BETNESOL tablets 0.5mg [UCB],betamethasone sodium phosphate,6030200,0.5mg
2130,methylprednisolone tablets 4mg ,methylprednisolone,06030200/01050200,4mg
2368,prednisolone tablets 2.5mg ,prednisolone,6030200,2.5mg
2615,EFCORTESOL injection 100mg/ml [SOVEREIGN],hydrocortisone sodium phosphate,6030200,100mg/ml
2704,prednisolone tablets 25mg ,prednisolone,6030200,25mg
2949,prednisone tablets 5mg ,prednisone,05011000/08020200/10020100/06030200/01050200,5mg
3345,SINTISONE tablets [PHARMACIA],prednisolone steaglate,05011000/08020200/10020100/06030200/01050200,
3418,hydrocortisone tablets 10mg ,hydrocortisone,06030100/06030200,10mg
