Phenotype,Terminology,Code,Description,Filter,Lookback
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,P27,Chronic respiratory disease originating in the perinatal period,Include,5 years
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I05,Rheumatic mitral valve diseases,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I06,Rheumatic aortic valve diseases,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I07,Rheumatic tricuspid valve diseases,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I08,Multiple valve diseases,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I10,,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I11,Hypertensive heart disease,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I12,Hypertensive renal disease,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I13,Hypertensive heart and renal disease,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I14,,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I15,Secondary hypertension,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I21,Acute myocardial infarction,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I22,Subsequent myocardial infarction,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I27,Other pulmonary heart diseases,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I28,Other diseases of pulmonary vessels,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I34,Nonrheumatic mitral valve disorders,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I35,Nonrheumatic aortic valve disorders,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I36,Nonrheumatic tricuspid valve disorders,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I37,Pulmonary valve disorders,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I42,Cardiomyopathy,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I43,Cardiomyopathy in diseases classified elsewhere,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,I44,Atrioventricular and left bundle-branch block,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,Q2,,Include,
uhc_congenital_heart_disease_and_hypertension_and_acquired_heart_disease,ICD-10,Q245,Malformation of coronary vessels,Filter,
