Phenotype,Read code,Description,Category
DEMENTIA,1461,H/O: dementia                                                                                                                                                                                                                                                  ,History of Dementia                               
DEMENTIA,66h..,Dementia monitoring                                                                                                                                                                                                                                            ,History of Dementia                               
DEMENTIA,6AB..,Dementia annual review                                                                                                                                                                                                                                         ,History of Dementia                               
DEMENTIA,8CMZ.,Dementia care plan                                                                                                                                                                                                                                             ,History of Dementia                               
DEMENTIA,9Ou..,Dementia monitoring administration                                                                                                                                                                                                                             ,History of Dementia                               
DEMENTIA,9Ou1.,Dementia monitoring first letter                                                                                                                                                                                                                               ,History of Dementia                               
DEMENTIA,9Ou2.,Dementia monitoring second letter                                                                                                                                                                                                                              ,History of Dementia                               
DEMENTIA,9Ou3.,Dementia monitoring third letter                                                                                                                                                                                                                               ,History of Dementia                               
DEMENTIA,9Ou4.,Dementia monitoring verbal invite                                                                                                                                                                                                                              ,History of Dementia                               
DEMENTIA,9Ou5.,Dementia monitoring telephone invite                                                                                                                                                                                                                           ,History of Dementia                               
DEMENTIA,9hD..,Exception reporting: dementia quality indicators                                                                                                                                                                                                               ,History of Dementia                               
DEMENTIA,9hD0.,Excepted from dementia quality indicators: Patient unsuitabl                                                                                                                                                                                                   ,History of Dementia                               
DEMENTIA,9hD1.,Excepted from dementia quality indicators: Informed dissent                                                                                                                                                                                                    ,History of Dementia                               
DEMENTIA,E00..,Senile and presenile organic psychotic conditions                                                                                                                                                                                                              ,Diagnosis of Dementia                             
DEMENTIA,E000.,Uncomplicated senile dementia                                                                                                                                                                                                                                  ,Diagnosis of Dementia                             
DEMENTIA,E001.,Presenile dementia                                                                                                                                                                                                                                             ,Diagnosis of Dementia                             
DEMENTIA,E0010,Uncomplicated presenile dementia                                                                                                                                                                                                                               ,Diagnosis of Dementia                             
DEMENTIA,E0011,Presenile dementia with delirium                                                                                                                                                                                                                               ,Diagnosis of Dementia                             
DEMENTIA,E0012,Presenile dementia with paranoia                                                                                                                                                                                                                               ,Diagnosis of Dementia                             
DEMENTIA,E0013,Presenile dementia with depression                                                                                                                                                                                                                             ,Diagnosis of Dementia                             
DEMENTIA,E001z,Presenile dementia NOS                                                                                                                                                                                                                                         ,Diagnosis of Dementia                             
DEMENTIA,E002.,Senile dementia with depressive or paranoid features                                                                                                                                                                                                           ,Diagnosis of Dementia                             
DEMENTIA,E0020,Senile dementia with paranoia                                                                                                                                                                                                                                  ,Diagnosis of Dementia                             
DEMENTIA,E0021,Senile dementia with depression                                                                                                                                                                                                                                ,Diagnosis of Dementia                             
DEMENTIA,E002z,Senile dementia with depressive or paranoid features NOS                                                                                                                                                                                                       ,Diagnosis of Dementia                             
DEMENTIA,E003.,Senile dementia with delirium                                                                                                                                                                                                                                  ,Diagnosis of Dementia                             
DEMENTIA,E004.,Arteriosclerotic dementia                                                                                                                                                                                                                                      ,Diagnosis of Dementia                             
DEMENTIA,E0040,Uncomplicated arteriosclerotic dementia                                                                                                                                                                                                                        ,Diagnosis of Dementia                             
DEMENTIA,E0041,Arteriosclerotic dementia with delirium                                                                                                                                                                                                                        ,Diagnosis of Dementia                             
DEMENTIA,E0042,Arteriosclerotic dementia with paranoia                                                                                                                                                                                                                        ,Diagnosis of Dementia                             
DEMENTIA,E0043,Arteriosclerotic dementia with depression                                                                                                                                                                                                                      ,Diagnosis of Dementia                             
DEMENTIA,E004z,Arteriosclerotic dementia NOS                                                                                                                                                                                                                                  ,Diagnosis of Dementia                             
DEMENTIA,E00y.,Other senile and presenile organic psychoses                                                                                                                                                                                                                   ,Diagnosis of Dementia                             
DEMENTIA,E00z.,Senile or presenile psychoses NOS                                                                                                                                                                                                                              ,Diagnosis of Dementia                             
DEMENTIA,E041.,Dementia in conditions EC                                                                                                                                                                                                                                      ,Diagnosis of Dementia                             
DEMENTIA,Eu00.,[X]Dementia in Alzheimer's disease                                                                                                                                                                                                                             ,Diagnosis of Dementia                             
DEMENTIA,Eu000,[X]Dementia in Alzheimer's disease with early onset                                                                                                                                                                                                            ,Diagnosis of Dementia                             
DEMENTIA,Eu001,[X]Dementia in Alzheimer's disease with late onset                                                                                                                                                                                                             ,Diagnosis of Dementia                             
DEMENTIA,Eu002,"[X]Dementia in Alzheimer's dis, atypical or mixed type                                                                                                                                                                                                         ",Diagnosis of Dementia                             
DEMENTIA,Eu00z,"[X]Dementia in Alzheimer's disease, unspecified                                                                                                                                                                                                                ",Diagnosis of Dementia                             
DEMENTIA,Eu01.,[X]Vascular dementia                                                                                                                                                                                                                                           ,Diagnosis of Dementia                             
DEMENTIA,Eu010,[X]Vascular dementia of acute onset                                                                                                                                                                                                                            ,Diagnosis of Dementia                             
DEMENTIA,Eu011,[X]Multi-infarct dementia                                                                                                                                                                                                                                      ,Diagnosis of Dementia                             
DEMENTIA,Eu012,[X]Subcortical vascular dementia                                                                                                                                                                                                                               ,Diagnosis of Dementia                             
DEMENTIA,Eu013,[X]Mixed cortical and subcortical vascular dementia                                                                                                                                                                                                            ,Diagnosis of Dementia                             
DEMENTIA,Eu01y,[X]Other vascular dementia                                                                                                                                                                                                                                     ,Diagnosis of Dementia                             
DEMENTIA,Eu01z,"[X]Vascular dementia, unspecified                                                                                                                                                                                                                              ",Diagnosis of Dementia                             
DEMENTIA,Eu02z,[X] Unspecified dementia                                                                                                                                                                                                                                       ,Diagnosis of Dementia                             
DEMENTIA,Eu041,[X]Delirium superimposed on dementia                                                                                                                                                                                                                           ,History of Dementia                               
DEMENTIA,F110.,Alzheimer's disease                                                                                                                                                                                                                                            ,Diagnosis of Dementia                             
DEMENTIA,F1100,Alzheimer's disease with early onset                                                                                                                                                                                                                           ,Diagnosis of Dementia                             
DEMENTIA,F1101,Alzheimer's disease with late onset                                                                                                                                                                                                                            ,Diagnosis of Dementia                             
DEMENTIA,Fyu30,[X]Other Alzheimer's disease                                                                                                                                                                                                                                   ,Diagnosis of Dementia                             
DEMENTIA,ZS7C5,Language disorder of dementia                                                                                                                                                                                                                                  ,History of Dementia                               
