Coding System (ICD-10),Codes,Description,Entity type,Category
ICD-10,J21.8,Acute bronchiolitis due to other specified organisms,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J20.4,Acute bronchitis due to parainfluenza virus,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J20.5,Acute bronchitis due to respiratory syncytial virus,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J20.6,Acute bronchitis due to rhinovirus,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J86.9,Pyothorax without fistula,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J20.8,Acute bronchitis due to other specified organisms,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J20.9,"Acute bronchitis, unspecified",res52: respiratory tract infection ICD-10,diagnostic
ICD-10,A48.1,Legionnaires disease,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J12.0,Adenoviral pneumonia,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J12.3,Human metapneumovirus pneumonia,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J12.9,"Viral pneumonia, unspecified",res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J14,Pneumonia due to Haemophilus influenzae,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J15.0,Pneumonia due to Klebsiella pneumoniae,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J15.3,"Pneumonia due to streptococcus, group B",res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J15.5,Pneumonia due to Escherichia coli,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J15.7,Pneumonia due to Mycoplasma pneumoniae,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J15.9,"Bacterial pneumonia, unspecified",res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J17,Pneumonia in diseases classified elsewhere,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J17.1,Pneumonia in viral diseases classified elsewhere,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J17.3,Pneumonia in parasitic diseases,res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J18,"Pneumonia, organism unspecified",res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J18.1,"Lobar pneumonia, unspecified",res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J18.8,"Other pneumonia, organism unspecified",res52: respiratory tract infection ICD-10,diagnostic
ICD-10,J20.0,Acute bronchitis due to Mycoplasma pneumoniae,res52: respiratory tract infection ICD-10,diagnostic
