Coding System (Multilex),Codes,Description,Entity type,Category
Multilex,64484020,Zolpidem 5mg tablets (Teva UK Ltd),res38: Anxiolitics,drug
Multilex,59237020,Zopiclone 7.5mg tablets (IVAX Pharmaceuticals UK Ltd),res38: Anxiolitics,drug
Multilex,63882020,Zolpidem 10mg Tablet (Winthrop Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,59236020,Zopiclone 3.75mg tablets (IVAX Pharmaceuticals UK Ltd),res38: Anxiolitics,drug
Multilex,39801020,Zimovane 7.5mg tablets (Lexon (UK) Ltd),res38: Anxiolitics,drug
Multilex,479021,Zopiclone 3.75mg/5ml oral solution,res38: Anxiolitics,drug
Multilex,59210020,Zopiclone 3.75mg tablets (Actavis UK Ltd),res38: Anxiolitics,drug
Multilex,59209020,Zopiclone 7.5mg tablets (Actavis UK Ltd),res38: Anxiolitics,drug
Multilex,60509020,Zopiclone 3.75mg tablets (A A H Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,63881020,Zolpidem 5mg Tablet (Winthrop Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,59593020,Zopiclone 3.75mg tablets (Teva UK Ltd),res38: Anxiolitics,drug
Multilex,59785020,Zopiclone 3.75mg tablets (Generics (UK) Ltd),res38: Anxiolitics,drug
Multilex,59784020,Zopiclone 7.5mg tablets (Generics (UK) Ltd),res38: Anxiolitics,drug
Multilex,59594020,Zopiclone 7.5mg tablets (Teva UK Ltd),res38: Anxiolitics,drug
Multilex,60510020,Zopiclone 7.5mg tablets (A A H Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,63765020,Zopiclone 7.5mg tablets (PLIVA Pharma Ltd),res38: Anxiolitics,drug
Multilex,63436020,Zopiclone 7.5mg tablets (Kent Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,62715020,Zopiclone 7.5mg tablets (Sandoz Ltd),res38: Anxiolitics,drug
Multilex,85821020,Zileze 3.75 tablets (Opus Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,64738020,Zolpidem 10mg tablets (A A H Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,65546020,Zopiclone 3.75mg tablets (Kent Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,64733020,Zolpidem 5mg tablets (A A H Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,64487020,Zolpidem 10mg tablets (Teva UK Ltd),res38: Anxiolitics,drug
Multilex,72417020,Zopiclone 3.75mg tablets,res38: Anxiolitics,drug
Multilex,83069020,Zimovane LS 3.75mg tablets (Sanofi),res38: Anxiolitics,drug
Multilex,65832020,Zolpidem 5mg tablets (IVAX Pharmaceuticals UK Ltd),res38: Anxiolitics,drug
Multilex,72416020,Zopiclone 7.5mg tablets,res38: Anxiolitics,drug
Multilex,72408020,Zimovane 7.5mg tablets (Sanofi),res38: Anxiolitics,drug
Multilex,65835020,Zolpidem 10mg tablets (IVAX Pharmaceuticals UK Ltd),res38: Anxiolitics,drug
Multilex,66946020,Zolpidem 10mg tablets (Generics (UK) Ltd),res38: Anxiolitics,drug
Multilex,75692020,Zolpidem 5mg tablets,res38: Anxiolitics,drug
Multilex,75697020,Stilnoct 10mg tablets (Sanofi),res38: Anxiolitics,drug
Multilex,75696020,Stilnoct 5mg tablets (Sanofi),res38: Anxiolitics,drug
Multilex,75693020,Zolpidem 10mg tablets,res38: Anxiolitics,drug
Multilex,85822020,Zileze 7.5 tablets (Opus Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,91009020,Zopiclone 3.75mg/5ml oral suspension,res38: Anxiolitics,drug
Multilex,86240020,Zaleplon 5mg capsules,res38: Anxiolitics,drug
Multilex,86241020,Zaleplon 10mg capsules,res38: Anxiolitics,drug
Multilex,86244020,Sonata 10mg capsules (Meda Pharmaceuticals Ltd),res38: Anxiolitics,drug
Multilex,86243020,Sonata 5mg capsules (Meda Pharmaceuticals Ltd),res38: Anxiolitics,drug
