phenotype,CPRD,ICD,OPCS,name_portal,implementation,group,is_cancer,is_adult,file_stem,primary_care,secondary_care,death,case_note_review,ehr_sources,prognosis,genetic,cross_country,publications,type,id,primary_care,secondary_care,type,data_sources,clinical_terminologies,validation,valid_event_data_range,sex,date,modified_date,version,authors
Abdominal Hernia,_data/primary_care/CPRD_hernia_abdo.csv,_data/secondary_care/ICD_hernia_abdo.csv,_data/secondary_care/OPCS_hernia_abdo.csv,Abdominal Hernia,"At the specified date, a patient is defined as having had 'Abdominal Hernia' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Abdominal Hernia' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Abdominal Hernia' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Abdominal Hernia'  during a hospitalization",Digestive,0,1,hernia_abdo,['_data/primary_care/CPRD_hernia_abdo.csv'],"['_data/secondary_care/ICD_hernia_abdo.csv', '_data/secondary_care/OPCS_hernia_abdo.csv']",,,,,,,,Disease or Syndrome,PHE00001,['_data/primary_care/CPRD_hernia_abdo.csv'],"['_data/secondary_care/ICD_hernia_abdo.csv', '_data/secondary_care/OPCS_hernia_abdo.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Abdominal Aortic Aneurysm,_data/primary_care/CPRD_AAA.csv,_data/secondary_care/ICD_AAA.csv,,Abdominal aortic aneurysm,"Use MODIFIED CALIBER 'Abdominal aortic aneurysm' phenotyping algorithm:

At the specified date, a patient is considered to have an 'Abdominal aortic aneurysm' IF they meet any of the criteria below on or before the specified date. 

The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:
1.	Primary care 
    1.	Diagnosis of AAA during a consultation: arterial_gprd: category 4
    2.	Performance of emergency AAA repair procedure recording during a consultation: aaa_ops_gprd: category 3
    3.	History of AAA during a consultation. The following Read code from CPRD:
    1.	Read:14AE.00	Medcode:16993	Descr:H/O: aortic aneurysm
2.	Secondary care 
    1.	Diagnosis of AAA as the primary or secondary diagnosis of any hospitalization: arterial_hes: category 4
    2.	Performance of emergency AAA repair procedure recorded: aaa_ops_opcs: category 3",Cardiovascular,0,1,AAA,['_data/primary_care/CPRD_AAA.csv'],['_data/secondary_care/ICD_AAA.csv'],,,,,,,,Disease or Syndrome,PHE00002,['_data/primary_care/CPRD_AAA.csv'],['_data/secondary_care/ICD_AAA.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Acne,_data/primary_care/CPRD_acne.csv,_data/secondary_care/ICD_acne.csv,,Acne,"At the specified date, a patient is defined as having had 'Acne' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Acne' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Acne' or history of diagnosis during a hospitalization",Skin,0,1,acne,['_data/primary_care/CPRD_acne.csv'],['_data/secondary_care/ICD_acne.csv'],,,,,,,,Disease or Syndrome,PHE00003,['_data/primary_care/CPRD_acne.csv'],['_data/secondary_care/ICD_acne.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Actinic Keratosis,_data/primary_care/CPRD_actinic_keratosis.csv,_data/secondary_care/ICD_actinic_keratosis.csv,,Actinic Keratosis,"At the specified date, a patient is defined as having had 'Actinic keratosis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Actinic keratosis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Actinic keratosis' or history of diagnosis during a hospitalization",Eye,0,1,actinic_keratosis,['_data/primary_care/CPRD_actinic_keratosis.csv'],['_data/secondary_care/ICD_actinic_keratosis.csv'],,,,,,,,Disease or Syndrome,PHE00004,['_data/primary_care/CPRD_actinic_keratosis.csv'],['_data/secondary_care/ICD_actinic_keratosis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Acute Kidney Injury,,_data/secondary_care/ICD_AKI.csv,,Acute Kidney Injury,"At the specified date, a patient is defined as having had 'Acute Kidney Injury' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of 'Acute Kidney Injury' or history of diagnosis during a hospitalization",Genitourinary,0,1,AKI,[],['_data/secondary_care/ICD_AKI.csv'],,,,,,,,Disease or Syndrome,PHE00005,[],['_data/secondary_care/ICD_AKI.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Agranulocytosis,_data/primary_care/CPRD_agranulocytosis.csv,_data/secondary_care/ICD_agranulocytosis.csv,,Agranulocytosis,"At the specified date, a patient is defined as having had 'Agranulocytosis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Agranulocytosis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Agranulocytosis' or history of diagnosis during a hospitalization",Haematological or immunological,0,1,agranulocytosis,['_data/primary_care/CPRD_agranulocytosis.csv'],['_data/secondary_care/ICD_agranulocytosis.csv'],,,,,,,,Disease or Syndrome,PHE00006,['_data/primary_care/CPRD_agranulocytosis.csv'],['_data/secondary_care/ICD_agranulocytosis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Alcohol Misuse,_data/primary_care/CPRD_alc_problems.csv,_data/secondary_care/ICD_alc_problems.csv,,Alcohol Misuse,"At the specified date, a patient is defined as having had Alcohol Problems IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Alcohol Problems diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Alcohol Problems or history of diagnosis during a hospitalization",Psychiatric,0,1,alc_problems,['_data/primary_care/CPRD_alc_problems.csv'],['_data/secondary_care/ICD_alc_problems.csv'],,,,,,,,Disease or Syndrome,PHE00007,['_data/primary_care/CPRD_alc_problems.csv'],['_data/secondary_care/ICD_alc_problems.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Alcoholic Liver Disease,_data/primary_care/CPRD_liver_alc.csv,_data/secondary_care/ICD_liver_alc.csv,,Alcoholic Liver Disease,"At the specified date, a patient is defined as having had 'Alcoholic liver disease' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Alcoholic liver disease' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Alcoholic liver disease' or history of diagnosis during a hospitalization",Digestive,0,1,liver_alc,['_data/primary_care/CPRD_liver_alc.csv'],['_data/secondary_care/ICD_liver_alc.csv'],,,,,,,,Disease or Syndrome,PHE00008,['_data/primary_care/CPRD_liver_alc.csv'],['_data/secondary_care/ICD_liver_alc.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Allergic/chronic Rhinitis,_data/primary_care/CPRD_allergic_rhinitis.csv,_data/secondary_care/ICD_allergic_rhinitis.csv,,Allergic/chronic Rhinitis,"At the specified date, a patient is defined as having had Allergic and chronic rhinitis IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Allergic and chronic rhinitis diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of Allergic and chronic rhinitis or history of diagnosis during a hospitalization",Respiratory,0,1,allergic_rhinitis,['_data/primary_care/CPRD_allergic_rhinitis.csv'],['_data/secondary_care/ICD_allergic_rhinitis.csv'],,,,,,,,Disease or Syndrome,PHE00009,['_data/primary_care/CPRD_allergic_rhinitis.csv'],['_data/secondary_care/ICD_allergic_rhinitis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Alopecia Areata,_data/primary_care/CPRD_alopecia_areata.csv,_data/secondary_care/ICD_alopecia_areata.csv,,Alopecia Areata,"At the specified date, a patient is defined as having had 'Alopecia areata' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Alopecia areata' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Alopecia areata' or history of diagnosis during a hospitalization",Skin,0,1,alopecia_areata,['_data/primary_care/CPRD_alopecia_areata.csv'],['_data/secondary_care/ICD_alopecia_areata.csv'],,,,,,,,Disease or Syndrome,PHE00010,['_data/primary_care/CPRD_alopecia_areata.csv'],['_data/secondary_care/ICD_alopecia_areata.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
